PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
36931328,Abnormal white matter changes in Alzheimers disease based on diffusion tensor imaging: A systematic review,,mild cognitive impairment;subjective cognitive decline;Alzheimer's disease,diffusion tensor imaging;MRI,Forix;Cingulum;Corpus Callosum,,review,,,,,AD patients vs normal controls,yes,no,yes,Alzheimers Disease
34454529,Attenuating vascular stenosis-induced astrogliosis preserves white matter integrity and cognitive function,mice,,MRI-DTI,External Capsule;Corpus Callosum,,single study,FA,,,decrease,,yes,no,no,
39129270,"Association of cortical morphology, white matter hyperintensity, and glymphatic function in frontotemporal dementia variants",humans,semantic variant PPA;nonfluent variant primary progressive aphasia;Behavioral variant FTD,,,,single study,,,,,,yes,yes,yes,Frontotemporal Dementia
37174620,Basal Ganglia Compensatory White Matter Changes on DTI in Alzheimers Disease,humans,Healthy controls;Alzheimer's disease,diffusion tensor imaging,,,single study,FA,,t-test,decrease,Alzheimer's patients vs controls,yes,yes,yes,Alzheimers Disease
38465597,Relationship of Perivascular Space Markers With Incident Dementia in Cerebral Small Vessel Disease,humans,patients with confluent white matter hyperintensities;patients with lacunar stroke,diffusion tensor image;magnetic resonance imaging,,,single study,MD,,regression,no mention,association between DTI-ALPS and incident dementia,yes,yes,yes,Cerebral Small Vessel Disease
28552181,White Matter Integrity on DTI and the Pathologic Staging of Alzheimers Disease,humans,Alzheimer's disease,diffusion MRI,Entorhinal Fornix;Ventral Cingulum;Precuneus;Crus Cerebri,,single study,FA;MD,,voxel-based analysis,decrease;increase,higher NFT stage and clinical disease severity,yes,yes,yes,Alzheimers Disease
38365045,Diffusion MRI marks progressive alterations in fiber integrity in the zQ175DN mouse model of Huntingtons disease,mice,,diffusion MRI,,,single study,,,,,,no,no,no,
31012815,An official website of the United States government Heres how you know,,,,,,,,,,,,no,no,no,
18157658,Diffusion Tensor Imaging (DTI)-based White Matter Mapping in Brain Research: A Review,,,diffusion MRI,,,review,,,,,,no,no,no,
24510641,Profiles of White Matter Tract Pathology in Frontotemporal Dementia,humans,behavioral variant frontotemporal dementia;Healthy controls;Alzheimer's disease,diffusion MRI,Cingulum Bundle;Uncinate Fasciculus;Corpus Callosum,,single study,FA;RD,,,,bvFTD patients vs Alzheimer's disease patients;bvFTD patients vs healthy controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
28975068,NeuroImage: Clinical,humans,Alzheimer's disease;semantic variant PPA;behavioral variant frontotemporal dementia;non-fluent variant primary progressive aphasia;Healthy controls,diffusion MRI,Fornix;Superior Longitudinal Fasciculus;Corpus Callosum,,single study,FA;MD,,,decrease,FTD subtypes vs controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
38378607,"The relationship between amyloid pathology, cerebral small vessel disease, glymphatic dysfunction, and cognition: a study based on Alzheimers disease continuum participants",humans,Mild Cognitive Impairment;Cognitively Normal;Alzheimer's disease,diffusion tensor imaging;amyloid PET;T2 fluid-attenuated inversion-recovery,,,single study,,,mediation analysis;correlation,,relationship between Aβ aggregation and WMH burden with cognition,yes,yes,yes,Alzheimers Disease
31585368,Association of white matter microstructural integrity with cognition and dementia,humans,,diffusion MRI,,,single study,FA;MD,,,,cognitive status prediction,yes,yes,yes,
26515192,An advanced white matter tract analysis in frontotemporal dementia and early-onset Alzheimers disease,humans,Healthy elderly controls;Early-onset Alzheimers disease;Behavioral variant frontotemporal dementia,diffusion weighted MRI,Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Anterior Thalamic Radiation;Cingulum Bundle,,single study,FA;MD;AD;RD,,,increase,bvFTD vs controls;EOAD vs controls,yes,yes,yes,Behavioral Variant Frontotemporal Dementia;Alzheimers Disease
19439421,White matter damage in frontotemporal dementia and Alzheimers disease measured by diffusion MRI,humans,Cognitively normal controls;Frontotemporal dementia;Alzheimer's disease,diffusion MRI,Cingulum;Uncinate Fasciculus;Anterior Corpus Callosum,,single study,FA,,voxel-by-voxel analysis,decrease,FTD vs Alzheimer's disease,yes,yes,yes,Dementia;Alzheimers Disease
38702626,BMC Medical Imaging,humans,Mild Cognitive Impairment,diffusion MRI,,,single study,,,Delong test,,MCI patients at high risk of progression to Alzheimer's disease,yes,yes,yes,Alzheimers Disease
33848693,White matter abnormalities of right hemisphere attention networks contribute to visual hallucinations in dementia with Lewy bodies,humans,dementia with Lewy bodies;healthy controls,rs-fMRI;diffusion MRI;Anatomical MRI,Inferior Longitudinal Fasciculus;Superior Longitudinal Fasciculus,,single study,FA;MD,,correlation,decrease,DLB patients with VH vs DLB patients without VH,yes,yes,yes,Lewy Body Dementia
31881858,"Multimodal MRI of grey matter, white matter, and functional connectivity in cognitively healthy mutation carriers at risk for frontotemporal dementia and Alzheimers disease",humans,cognitively healthy controls;cognitively healthy mutation carriers,diffusion MRI;Anatomical MRI,Uncinate Fasciculus;Anterior Thalamic Radiation;Forceps Minor,SPM,single study,FA,,dual regression;voxel-based morphometry;tract-based spatial statistics (TBSS),decrease,APOE4 carriers vs controls,yes,yes,no,
24150110,Regional Differences in White Matter Breakdown Between Frontotemporal Dementia and Early-Onset Alzheimers Disease 1,humans,behavioral variant frontotemporal dementia;healthy controls;Alzheimer's disease,diffusion MRI,Genu of Corpus Callosum;Splenium of the Corpus Callosum;Frontal White Matter,,single study,FA;MD;AD;RD,,,decrease,bvFTD patients vs AD patients,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
38010204,"Associations Between White Matter Integrity of the Cingulum Bundle, Surrounding Gray Matter Regions, and Cognition Across the Dementia Continuum",humans,,diffusion tensor imaging,Cingulum Bundle,,single study,,,,,,yes,yes,yes,
22952843,Grey and White Matter Changes across the Amyotrophic Lateral Sclerosis-Frontotemporal Dementia Continuum,humans,behavioral variant FTD;ALS-FTD;controls;ALS,structural MRI;diffusion MRI,Corticospinal Tract,,single study,,,voxel-based morphometry;DTI analysis,no mention,ALS vs ALS-FTD vs bvFTD vs controls,yes,yes,yes,Frontotemporal Dementia
33199431,Multi-shell Diffusion MRI Models for White Matter Characterization in Cerebral Small Vessel Disease,,,,,,,,,,,,no,no,no,
27436017,Functional connectivity and microstructural white matter changes in phenocopy frontotemporal dementia,humans,phenocopy frontotemporal dementia;bvFTD;controls,diffusion tensor imaging;resting state functional MRI,Frontal Aslant Tract,,single study,,,,increase,phFTD vs bvFTD,yes,yes,yes,Frontotemporal Dementia
32032816,NeuroImage: Clinical,humans,Dementia with Lewy bodies;Healthy controls,PET;diffusion weighted MRI;MRI,Corona Radiata;Superior Longitudinal Fasciculus;Corpus Callosum,Computational Anatomy Toolbox (CAT12),single study,FA;MD;RD,,ANOVA,decrease,DLB patients vs controls,yes,yes,yes,Lewy Body Dementia
34230607,Neurobiology of loneliness: a systematic review,,,fMRI;EEG;PET;SPECT;CT;diffusion MRI;structural MRI,,,review,,,,,,no,no,no,
25863527,White matter integrity in dementia with Lewy bodies: A Voxel-Based Analysis of Diffusion Tensor Imaging,humans,dementia with Lewy bodies;cognitively normal controls;Alzheimer's disease,PET;diffusion MRI,parahippocampal;parieto-occipital,,single study,FA,,,decrease,dementia with Lewy bodies vs cognitively normal controls;dementia with Lewy bodies vs Alzheimer's disease,yes,yes,yes,Lewy Body Dementia
29901746,Brain MRI fiber-tracking reveals white matter alterations in hypertensive patients without damage at conventional neuroimaging,humans,hypertensive patients,MRI,,,single study,,,,,hypertensive patients,no,yes,no,
30538047,MR approaches in neurodegenerative disorders,humans,dementia with Lewy bodies;mild cognitive impairment;Alzheimer's disease,diffusion tensor imaging;MRS;MRI,,,review,fractional anisotropy;mean diffusivity,,,decrease,Alzheimer's disease vs dementia with Lewy bodies,yes,yes,yes,Alzheimers Disease
25347157,"White Matter Integrity on DTI, Amyloid Load, and Neurodegeneration in Non-demented Elderly",humans,mild cognitive impairment;cognitively normal,PET;diffusion MRI;MRI,Fornix,,single study,FA,,correlation,decrease,MCI vs cognitively normal,yes,yes,no,Mild Cognitive Impairment
38091751,Neurite-based white matter alterations in MAPT mutation carriers: A multi-shell diffusion MRI study in the ALLFTD consortium,humans,non-carrier family controls;MAPT mutation carriers,diffusion MRI,Cingulum;Uncinate Fasciculus,,single study,FA;MD;NDI;ODI,,linear mixed-effects models;regression,decrease,MAPT mutation carriers vs non-carrier family controls,yes,yes,no,
