Unnamed: 0_level_0,APOE4+,APOE4+,APOE4-,APOE4-,Unnamed: 5_level_0,Unnamed: 6_level_0,FH+,FH+,FH-,FH-,Unnamed: 11_level_0,Unnamed: 12_level_0
Demographics and vascular risk factors,M,SD,M,SD,t,p,M,SD,M,SD,t,p
Age (years),60.12,6.81,61.54,6.63,1.89,0.06,60.29,6.89,62.96,5.84,3.32,0.001
Education (years),16.33,2.22,16.24,2.47,–0.34,0.74,16.33,2.33,16.10,2.50,–0.81,0.42
Systolic BP,122.85,15.41,125.28,15.89,1.38,0.17,125.10,15.51,122.54,16.3,–1.34,0.18
Diastolic BP,73.82,9.1,74.16,9.85,0.72,0.48,74.23,9.53,72.92,9.72,–1.12,0.26
BMI,28.40,5.47,27.84,5.37,–0.92,0.36,28.33,5.31,27.26,5.59,–1.64,0.10
Fasting glucose,93.92,13.58,96.70,20.28,1.30,0.19,96.02,20.1,94.92,11.4,–0.49,0.63
Fasting insulin,8.51,5.36,9.97,8.98,1.62,0.11,9.66,8.22,8.84,6.95,–.84,0.40
Total cholesterol,197.58,32.63,194.32,35.67,–0.83,0.41,196.65,34.59,192.41,34.59,–1.01,0.31
HDL cholesterol,58.34,16.8,61.56,19.08,1.53,0.13,59.58,17.67,62.70,19.98,1.37,0.17
,,,,,,,,,,,,
,N,,N,,?2,p,N,,N,,?2,p
Sex (female),86 (68%),,144 (66%),,0.13,0.72,166 (66%),,64 (69%),,0.18,0.67
,,,,,,,,,,,,
Cognitive factor score,M,SD,M,SD,F,p,M,SD,M,SD,F,p
Speed and Flexibility (Z),0.28,0.92,0.15,0.91,0.40,0.53,0.24,0.90,0.09,0.94,0.03,0.86
Working Memory (Z),0.21,1.00,0.07,1.01,1.36,0.24,0.06,1.01,0.26,0.99,3.07,0.08
Verbal Learning (Z),0.084,1.03,0.055,1.00,0.03,0.87,0.03,1.00,0.17,1.02,2.75,0.10
Immediate Memory (Z),–0.04,1.06,0.05,1.02,1.20,0.27,–0.02,1.05,0.10,0.98,1.78,0.18
