Unnamed: 0,Unnamed: 1,HC,SCD,aMCI,Dementia,Unnamed: 6
(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs
Frontal inferior\orbital R,Mean,0.65,0.62,0.60,0.57,
,SEM,0.02,0.02,0.03,0.01,
Frontal inferior\orbital L,Mean,0.64,0.60,0.59,0.56,
,SEM,0.02,0.02,0.02,0.01,
Insula right,Mean,0.77,0.74,0.68,0.69,
,SEM,0.02,0.03,0.04,0.02,
Insula left,Mean,0.74,0.70,0.67,0.66,
,SEM,0.02,0.02,0.03,0.02,
Hippocampus right,Mean,0.78,0.79,0.69,0.68,
,SEM,0.02,0.02,0.03,0.03,
Hippocampus left,Mean,0.79,0.80,0.70,0.71,
,SEM,0.02,0.01,0.03,0.01,
Parietal right,Mean,0.57,0.57,0.52,0.53,
,SEM,0.02,0.02,0.03,0.01,
Parietal left,Mean,0.56,0.56,0.52,0.52,
,SEM,0.02,0.01,0.03,0.01,
Temporal right,Mean,0.68,0.68,0.62,0.63,
,SEM,0.02,0.02,0.04,0.01,
Temporal left,Mean,0.68,0.67,0.63,0.62,
,SEM,0.02,0.01,0.03,0.02,
(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS,(B) COMPARISON OF GM VOLUME ANALYSIS BETWEEN EACH PAIR OF STUDY GROUPS
T1,HC vs. SCD,HC vs. aMCI,HC vs. Dementia,SCD vs. aMCI,SCD vs. Dementia,aMCI vs. Dementia
Frontal inferior\orbital R,0.33,0.19,0.01,0.58,0.04,0.22
Frontal inferior\orbital L,0.26,0.29,0.01,0.87,0.08,0.20
Insula right,0.26,0.03,0.00,0.19,0.02,0.47
Insula left,0.28,0.13,0.01,0.49,0.05,0.32
Hippocampus right,0.91,0.06,0.00,0.05,<0.0001,0.10
Hippocampus left,0.88,0.03,<0.0001,0.03,<0.0001,0.11
parietal right,0.87,0.30,0.01,0.32,0.01,0.19
Parietal left,0.90,0.36,0.01,0.38,0.01,0.15
Temporal right,0.74,0.11,0.01,0.16,0.01,0.42
Temporal left,0.70,0.16,0.02,0.24,0.03,0.44
