Unnamed: 0_level_0,HC,HC,SCD,SCD,aMCI,aMCI,Dementia,Dementia
DTI-MD,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs,(A) MEAN AND STANDARD ERROR MEAN VALUES FOR EACH OF THE ANALYZED ROIs
Genu of corpus callosum',0.35,0.01,0.40,0.03,0.39,0.01,0.44,0.02
Body of corpus callosum',0.33,0.01,0.36,0.02,0.37,0.01,0.41,0.03
Splenium of corpus callosum',0.31,0.01,0.32,0.01,0.36,0.01,0.40,0.03
Anterior corona radiata L',0.26,0.00,0.30,0.01,0.29,0.01,0.30,0.01
Anterior corona radiata R',0.26,0.00,0.29,0.01,0.29,0.01,0.31,0.02
Superior corona radiata L',0.25,0.00,0.27,0.01,0.28,0.01,0.29,0.01
Superior corona radiata R',0.25,0.00,0.27,0.01,0.28,0.01,0.29,0.01
Cingulum (hippocampus) L',0.28,0.00,0.33,0.03,0.31,0.00,0.32,0.01
Cingulum (hippocampus) R',0.28,0.00,0.33,0.03,0.31,0.01,0.32,0.01
Fornix L',0.32,0.01,0.37,0.01,0.38,0.01,0.39,0.02
Fornix R',0.33,0.01,0.37,0.01,0.39,0.01,0.39,0.02
Superior longitudinal fasciculus L',0.25,0.00,0.28,0.01,0.27,0.00,0.28,0.01
Superior longitudinal fasciculus R',0.25,0.00,0.28,0.01,0.28,0.00,0.28,0.01
Superior fronto-occipital L',0.26,0.00,0.32,0.02,0.30,0.01,0.33,0.02
Superior fronto-occipital R',0.27,0.01,0.32,0.01,0.31,0.01,0.34,0.02
(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS,(B)P-VALUES OF DTI-MD ANALYSIS COMPARISON BETWEEN EACH PAIR OF STUDY GROUPS
DTI-MDpValue,HC vs. SCD,HC vs. aMCI,HC vs. Dementia,SCD vs. aMCI,SCD vs. Dementia,aMCI vs. Dementia,,
Genu of corpus callosum',0.01,0.08,0.00,0.70,0.19,0.14,,
Body of corpus callosum',0.10,0.13,0.00,0.87,0.05,0.13,,
Splenium of corpus callosum',0.42,0.04,0.00,0.16,0.00,0.15,,
Anterior corona radiata L',0.12,0.22,0.11,0.93,0.79,0.76,,
Anterior corona radiata R',0.11,0.21,0.05,0.93,0.52,0.53,,
Superior corona radiata L',0.26,0.32,0.13,0.95,0.55,0.65,,
Superior corona radiata R',0.31,0.30,0.13,0.85,0.51,0.69,,
Cingulum (hippocampus) L',0.02,0.33,0.17,0.30,0.50,0.74,,
Cingulum (hippocampus) R',0.03,0.29,0.21,0.45,0.53,0.89,,
Fornix L',0.02,0.03,0.01,0.79,0.57,0.81,,
Fornix R',0.04,0.02,0.03,0.56,0.63,0.91,,
Superior longitudinal fasciculus L',0.20,0.35,0.26,0.87,1.00,0.89,,
Superior longitudinal fasciculus R',0.20,0.26,0.21,0.96,0.89,0.94,,
Superior fronto-occipital L',0.01,0.12,0.01,0.56,0.56,0.30,,
Superior fronto-occipital R',0.04,0.13,0.01,0.84,0.29,0.28,,
