Unnamed: 0,SCD (N = 46),NC (N = 49),p
Basic information,Basic information,Basic information,Basic information
Age,65.22 ± 5.44,66.04 ± 5.70,0.474
Sex (female),30 (65.1 %),25 (51.0 %),0.161
Years of school education,9.28 ± 4.47,10.10 ± 3.95,0.345
AD8,3.78 ± 1.81,0.20 ± 0.41,<0.001???
Physical activity,Physical activity,Physical activity,Physical activity
SARC-F,1.15 ± 1.52,0.31 ± 0.62,0.001???
SARC-F ≥ 4,4 (8.7 %),0 (0.0 %),0.051
IPAQ-SF MET (min/wk),3288.52 ± 3639.52,5654.41 ± 4397.93,0.005???
IPAQ-SF category,,,0.003???
Low,11 (23.9 %),6 (12.2 %),
Middle,20 (43.5 %),10 (20.4 %),
High,15 (32.6 %),33 (66.7 %),
Cognitive performance,Cognitive performance,Cognitive performance,Cognitive performance
Structured cognitive test,Structured cognitive test,Structured cognitive test,Structured cognitive test
MoCA,23.87 ± 3.52,26.18 ± 3.52,0.002???
MMSE,28.04 ± 1.65,28.33 ± 1.86,0.436
Individual cognitive test,Individual cognitive test,Individual cognitive test,Individual cognitive test
DSC,52.07 ± 17.17,59.88 ± 22.19,0.061
DST: forward,12.04 ± 2.37,12.39 ± 2.26,0.475
DST: backward,6.00 ± 3.00,7.37 ± 2.81,0.025???
LNS,8.22 ± 2.46,9.61 ± 3.30,0.024???
CF: animal,16.42 ± 4.81,19.02 ± 4.82,0.010???
CF: fruit,13.27 ± 3.30,14.04 ± 2.95,0.233
CF: color,12.22 ± 3.97,14.00 ± 4.56,0.048???
CF: city,19.16 ± 6.07,19.84 ± 5.64,0.574
FMT,33.94 ± 4.19,35.84 ± 4.84,0.045???
