Unnamed: 0,SCD (N = 128),Control (N = 199),Total (N = 327),Test statistic,p value
Sex,,,,χ2 = 0.238,0.625
FEMALE,64 (50.0%),94 (47.2%),158 (48.3%),,
MALE,64 (50.0%),105 (52.8%),169 (51.7%),,
Age,,,,t = 1.04,0.299
Mean (SD),71.481 (8.941),70.424 (9.011),70.837 (8.985),,
Range,55.250–87.670,55.170–88.920,55.170–88.920,,
Income,,,,χ2 = 1.26,0.939
"Less than £18,000",29 (22.7%),50 (25.1%),79 (24.2%),,
"£18,000 to 30,999",40 (31.2%),55 (27.6%),95 (29.1%),,
"£31,000 to 51,999",29 (22.7%),43 (21.6%),72 (22.0%),,
"£52,000 to 100,000",20 (15.6%),31 (15.6%),51 (15.6%),,
"Greater than £100,000",5 (3.9%),12 (6.0%),17 (5.2%),,
Prefer not to answer,5 (3.9%),8 (4.0%),13 (4.0%),,
Ethnicity,,,,,
White,126 (98.4%),194 (97.5%),320 (97.9%),,
Mixed,0 (0.0%),1 (0.5%),1 (0.3%),,
Asian or Asian British,1 (0.8%),2 (1.0%),3 (0.9%),,
Black or Black British,0 (0.0%),1 (0.5%),1 (0.3%),,
Chinese,0 (0.0%),0 (0.0%),0 (0.0%),,
Other,0 (0.0%),1 (0.5%),1 (0.3%),,
Do not know,0 (0.0%),0 (0.0%),0 (0.0%),,
No answer,1 (0.8%),0 (0.0%),1 (0.3%),,
Years of Education,,,,t = −0.571,0.568
Mean (SD),19.410 (4.087),19.697 (4.902),19.584 (4.595),,
Range,14.000–33.000,2.000–52.000,2.000–52.000,,
