Unnamed: 0,SCD (N = 125 &),Control (N = 197 &),Test statistic,p value,Cohen’s D
Left entorhinal *,,,t = −2.41,0.017,−0.27
Mean (SD),2.947 (0.191),3.001 (0.207),,,
Range,2.544–3.400,2.463–3.493,,,
Right entorhinal **,,,t = −2.86,0.005,−0.32
Mean (SD),3.060 (0.176),3.119 (0.191),,,
Range,2.620–3.484,2.606–3.605,,,
Left temporal pole,,,t = −0.527,0.599,−0.06
Mean (SD),3.446 (0.178),3.456 (0.161),,,
Range,3.014–3.878,3.035–3.850,,,
Right temporal pole *,,,t = −2.23,0.026,−0.27
Mean (SD),3.630 (0.197),3.679 (0.174),,,
Range,3.191–4.161,3.213–4.126,,,
