Unnamed: 0,SCD (N = 127),Control (N = 198),Test statistic,p value,Cohen’s D
Left FA,,,t = 0.217,0.829,−0.03
Mean (SD),0.296 (0.032),0.295 (0.035),,,
Range,0.231–0.398,0.186–0.387,,,
Left MD,,,t = 1.13,0.259,0.07
Mean (SD),0.621 (0.048),0.625 (0.047),,,
Range,0.491–0.738,0.482–0.744,,,
Left AxD,,,t = 0.680,0.497,0.09
Mean (SD),0.821 (0.060),0.820 (0.059),,,
Range,0.646–0.945,0.648e–0.97,,,
Left RD,,,t = 0.974,0.331,0.06
Mean (SD),0.521 (0.047),0.523 (0.045),,,
Range,0.414–0.637,0.389–0.647,,,
Right FA,,,t = 1.59,0.112,0.18
Mean (SD),0.299 (0.037),0.306 (0.036),,,
Range,0.206–0.397,0.220–0.389,,,
Right MD,,,t = −0.647,0.518,−0.13
Mean (SD),0.634 (0.051),0.634 (0.046),,,
Range,0.500–0.787,0.478e–0.730,,,
Right AxD,,,t = −0.304,0.761,−0.04
Mean (SD),0.852 (0.060),0.849 (0.058),,,
Range,0.665–1.000,0.608–0.962,,,
Right RD,,,t = −1.28,0.201,−0.17
Mean (SD),0.534 (0.051),0.534 (0.046),,,
Range,0.409–0.678,0. 407–0.633,,,
