Unnamed: 0,CN (n = 17),MCI (n = 18),AD (n = 23),F/χ???(P)
Gender (F/M),14/3,9/9,10/13,6.530 (0.038)
Age,71.18±8.06,72.83±6.51,76.35±6.73,2.823 (0.068)
Education (years),10.41±3.52,7.11±4.75,9.04±5.17,2.272 (0.113)
CDR,0.00±0.00,0.39±0.27,1.39±0.66,53.741 (<0.001)???
MMSE,28.35±1.41,26.22±3.42,20.35±5.91,19.308 (<0.001) ???
Pfeffer,0.06±0.24,1.44±1.46,16.83±7.18,84.285 (<0.001) ???
Clock Drawing Test,13.88±1.05,12.06±2.63,8.91±3.90,14.754 (<0.001) ???
Verbal Fluency,16.24±4.18,13.61±4.53,9.82±5.10,9.374 (<0.001) ???
Memory-CAMCOG???,21.58±2.69,16.94±4.57,8.72±5.51,40.64 (<0.001)???
Boston Naming Test,11.24±0.90,10.11±1.23,9.23±1.95,8.796 (<0.001)???
