Unnamed: 0_level_0,PIB−,PIB+,WMH−,WMH+,PiB effect,WMH effect
Unnamed: 0_level_1,(N = 30),(N = 27),(N = 30),(N = 27),p-value,p-value
Age (yrs),77.3 (7.3),79.0 (6.6),77.0 (7.0),79.1 (6.9),0.76???,0.22???
Sex (M/F),20/10,20/7,23/7,17/10,0.54???,0.26???
Education (yrs),14.3 (3.0),14.7 (3.1),14.6 (3.3),14.4 (2.7),0.67???,0.84???
MMSE,28.5 (2.0),28.1 (2.0),28.3 (2.0),28.2 (2.0),0.49???,0.84???
GDS,1.4 (1.8),2.4 (2.7),2.0 (2.6),1.8 (1.9),0.12???,0.76???
CDR 0/0.5,19/11,10/17,16/14,13/14,0.047???,0.70???
apoE ε 4 (−/+)???,21/5,13/9,19/7,15/7,0.10???,0.71???
Global PiB index,1.00 (0.00),1.26 (0.45),1.17 (0.38),1.10 (0.27),0.001???,0.30???
PiB −/+,,,16/14,14/13,,0.91???
Brain infarct on MRI,9 (30%),13 (48%),10 (33%),12 (44%),0.16???,0.39???
WMH??? volume as % ICV,0.50 (0.64),0.81 (0.89),0.20 (0.12),1.29 (0.84),0.23???,<0.001???
WMH pathology (−/+),16/14,14/13,,,0.91???,
