Unnamed: 0_level_0,PiB−WMH−,PiB−WMH+,PiB+WMH+,PiB+WMH+,Unnamed: 5_level_0,p-value,Unnamed: 7_level_0
Unnamed: 0_level_1,(n = 16),(n = 14),(n = 14),(n = 13),PiB,WMH,PiB X WMH
Projection Fibers,,,,,,,
Corona radiata,0.40 (0.03),0.38 (0.03),0.41 (0.03),0.36 (0.03),0.38,<0.001,0.08
Internal capsule,0.51 (0.03),0.50 (0.03),0.53 (0.03),0.48 (0.03),0.65,<0.001,0.01
Limbic Fibers,,,,,,,
Cingulum,0.33 (0.03),0.34 (0.03),0.33 (0.03),0.33 (0.03),0.61,0.29,0.73
Parahippocampal WM,0.34 (0.03),0.36 (0.03),0.35 (0.03),0.33 (0.03),0.44,0.65,0.03
Fornix,0.36 (0.06),0.33 (0.06),0.30 (0.06),0.30 (0.06),0.01,0.45,0.29
Association Fibers,,,,,,,
Superior longitudinal fasciculus,0.41 (0.03),0.39 (0.03),0.41 (0.03),0.38 (0.03),0.46,0.001,0.37
Superior fronto-occipital fasciculus,0.39 (0.04),0.34 (0.04),0.37 (0.05),0.34 (0.05),0.64,0.001,0.48
Inferior fronto-occipital fasciculus,0.34 (0.02),0.33 (0.02),0.35 (0.02),0.32 (0.02),0.86,0.001,0.1
Corpus Callosum,,,,,,,
Genu,0.44 (0.03),0.43 (0.03),0.42 (0.03),0.42 (0.04),0.16,0.73,0.45
Body,0.50 (0.04),0.47 (0.04),0.49 (0.04),0.46 (0.04),0.19,0.007,0.67
Splenium,0.54 (0.03),0.53 (0.03),0.53 (0.03),0.51 (0.04),0.046,0.19,0.58
