Modality,Modality.1,Accuracy [%],Sensitivity [%],Specificity [%],No. of features [103 voxels],Reduced variance
FA,original,"80.3 [66.0, 94.7]","78.8 [57.1, 96.6]","81.9 [64.3, 100.0]",26 (11%),–
,reduced |r|>0.6,"81.8 [71.4, 100.0]","78.0 [57.1, 100.0]","85.5 [65.4, 100.0]",23 (10%),29%
,reduced |r|>0.5,"79.9 [66.0, 89.5]","74.5 [53.4, 96.6]","85.1[64.3, 100.0]",22 (9%),46%
,reduced |r|>0.4,"78.3 [62.5, 89.3]","74.4 [50.0, 100.0]","82.0 [57.1, 100.0]",21 (9%),58%
MD,original,"83.3 [69.1, 96.4]","79.6 [57.1, 100.0]","86.9 [71.4, 100.0]",128 (54%),–
,reduced |r|>0.6,"83.4 [70.1, 94.7]","75.9 [55.4, 92.9]","90.7 [71.4, 100.0]",67 (28%),31%
,reduced |r|>0.5,"82.9 [71.4, 93.0]","74.8 [57.1, 92.9]","90.6 [75.8, 100.0]",49 (21%),56%
,reduced |r|>0.4,"82.2 [67.9, 94.7]","74.2 [51.8, 92.9]","89.8 [66.7, 100.0]",43 (18%),63%
WMD,original,"82.7 [67.9, 96.4]","77.9 [55.4, 92.9]","87.4 [71.4, 100.0]",41 (17%),–
,reduced |r|>0.6,–,–,–,–,–
,reduced |r|>0.5,"81.1 [66.0, 93.0]","74.2 [50.0, 92.9]","87.8 [65.4, 100.0]",60 (25%),23%
,reduced |r|>0.4,"79.1 [64.3, 92.9]","72.8 [51.8, 92.9]","85.2 [64.3, 100.0]",53 (22%),45%
GMD,original,"89.3 [78.6, 100.0]","87.4 [69.2, 100.0]","91.2 [72.3, 100.0]",182 (71%),–
,reduced |r|>0.6,–,–,–,–,–
,reduced |r|>0.5,–,–,–,–,–
,reduced |r|>0.4,"74.6 [57.1, 89.3]","66.3 [40.5, 85.7]","82.7 [64.3, 100.0]",20 (8%),32%
