Modality,Modality.1,ML algorithm,Accuracy [%],Sensitivity [%],Specificity [%],No. of features [103 voxels]
FA,original,SVM,"73.8 [57.8, 86.0]","73.0 [13.1, 94.0]","70.4 [19.3, 98.0]",11 (5%)
,,NB,"69.4 [52.6, 88.6]","68.3 [19.0, 100.0]","70.5 [12.0, 100.0]",
,mean corrected,SVM,"76.2 [60.5, 91.1]","65.0 [44.3, 97.8]","86.3 [52.0, 100.0]",49 (21%)
,,NB,"72.7 [63.8, 89.2]","66.7 [30.7, 93.8]","77.8 [62.5, 89.8]",
MD,original,SVM,"63.6 [46.6, 82.3]","72.2 [25.3, 100.0]","58.5 [20.0, 97.5]",129 (55%)
,,NB,"68.0 [57.7, 89.0]","54.0 [26.0, 97.8]","81.4 [25.0, 100.0]",
,mean corrected,SVM,"78.3 [67.0, 94.8]","60.8 [26.7, 93.1]","92.4 [80.3, 100.0]",157 (66%)
,,NB,"72.7 [58.1, 88.2]","63.3 [35.4, 94.0]","82.0 [33.8, 95.0]",
WMD,original,SVM,"78.8 [58.7, 91.8]","72.6 [42.0, 98.7]","85.7 [47.0, 100.0]",42 (18%)
,,NB,"73.4 [58.8, 81.9]","67.4 [50.0, 87.6]","77.6 [57.7, 99.0]",
,mean corrected,SVM,"85.4 [71.5, 98.6]","73.8 [43.3, 97.8]","96.7 [88.6, 100.0]",55 (23%)
,,NB,"73.0 [52.3, 83.6]","61.5 [31.3, 84.3]","84.5 [66.3, 98.8]",
GMD,original,SVM,"82.4 [71.9, 97.5]","82.2 [52.0, 100.0]","84.1 [48.0, 100.0]",180 (71%)
,,NB,"69.9 [35.8, 91.4]","65.0 [0.8, 97.6]","78.0 [13.7, 100.0]",
,mean corrected,SVM,"91.1 [82.7, 100.0]","84.0 [67.9, 100.0]","98.3 [95.0, 100.0]",200 (78%)
,,NB,"70.4 [61.0, 82.1]","67.1 [47.3, 91.7]","74.5 [58.2, 86.0]",
