Modality,Modality.1,Accuracy [%],Sensitivity [%],Specificity [%]
FA,original,"70.4 [56.1, 84.0]","65.4 [42.9, 85.7]","75.1 [57.1, 93.3]"
,reduced |r|>0.6,"72.2 [54.3, 86.2]","72.7 [51.8, 92.9]","71.8 [42.9, 93.3]"
,reduced |r|>0.5,"71.1 [54.5, 85.7]","71.2 [50.0, 92.9]","71.0 [44.7, 92.9]"
,reduced |r|>0.4,"71.3 [53.6, 85.7]","70.0 [44.4, 92.9]","72.6 [46.3, 92.9]"
MD,original,"68.8 [53.6, 80.8]","50. 9 [28.6, 75.2]","85.9 [71.4, 100.0]"
,reduced |r|>0.6,"71.1 [54.3, 85.7]","55.6 [32.0, 78.6]","85.9 [64.3, 100.0]"
,reduced |r|>0.5,"68.6 [54.3, 80.8]","43.5 [16.0, 70.4]","92.7 [78.6, 100.0]"
,reduced |r|>0.4,"68.6 [55.3, 79.0]","44.5 [21.4, 71.4]","91.7 [74.8, 100.0]"
WMD,original,"74.7 [53.6, 89.5]","70.9 [40.5, 92.9]","78.4 [53.3, 100.0]"
,reduced |r|>0.6,–,–,–
,reduced |r|>0.5,"72.4[53.6, 91.2]","62.5 [35.7, 89.2]","82.0 [57.1, 100.0]"
,reduced |r|>0.4,"68.6 [57.1, 82.1]","57.0 [30.8, 78.6]","79.7 [58.5, 100.0]"
GMD,original,"69.9 [51.7, 84.0]","61.6 [35.7, 82.3]","78.1 [55.1, 92.9]"
,reduced |r|>0.6,–,–,–
,reduced |r|>0.5,–,–,–
,reduced |r|>0.4,"66.0 [42.9, 85.7]","63.3 [40.5, 85.7]","68.6 [40.0, 92.9]"
