Unnamed: 0_level_0,Unnamed: 1_level_0,Coordinates (mm),Coordinates (mm),Coordinates (mm),Unnamed: 5_level_0
Region,Side,x,y,z,Sensitivity
Inferior frontal gyrus WM,R,39,27,2,1.0
Parahippocampal gyrus WM,R,20,−11,−29,1.0
Middle occipital gyrus WM,R,24,−90,18,0.98
Fusiform gyrus WM,L,−48,−62,−12,0.97
Superior parietal lobule WM,L,−29,−62,54,0.96
Inferior temporal gyrus WM,R,60,−30,−24,0.95
Middle occipital gyrus WM,R,36,−89,11,0.95
Middle frontal gyrus WM,R,44,41,14,0.94
Inferior frontal gyrus WM,L,−45,30,−2,0.94
Cerebellum WM,R,8,−54,−27,0.93
Lingual gyrus WM,R,−33,−14,−8,0.92
Fusiform gyrus WM,R,30,−77,−14,0.91
Parahippocampal gyrus WM,L,−29,−8,−30,0.91
Putamen WM,L,−24,2,−6,0.91
Middle frontal gyrus WM,R,44,15,32,0.91
Inferior temporal gyrus WM,R,59,−51,−17,0.91
Putamen WM,L,−14,23,−8,0.91
Putamen WM,R,35,−20,−5,0.9
Superior temporal gyrus WM,L,−38,2,−18,0.9
Supramarginal gyrus WM,L,−57,−41,38,0.9
