Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Coordinates (mm),Coordinates (mm),Coordinates (mm),Unnamed: 6_level_0
Region,Brodmann area,Side,x,y,z,Sensitivity
Middle frontal gyrus,6.0,L,−26,−2,48,1.0
Caudate tail,,L,−21,−9,−11,0.97
"Lentiform nucleus, lateral globus pallidus",,R,27,−15,−11,0.97
Precuneus,7.0,R,11,−60,39,0.97
Precuneus,7.0,L,−11,−60,42,0.94
Hippocampus,,R,33,−30,−5,0.94
Precentral gyrus,9.0,L,−33,27,35,0.9
Posterior cingulate,23.0,R,8,−53,23,0.89
"Thalamus, pulvinar",,L,−5,−30,17,0.88
Superior temporal gyrus,21.0,R,63,−15,−8,0.88
Amygdala,,L,−38,−24,−11,0.88
Supramarginal gyrus,40.0,L,−51,−47,33,0.87
Middle occipital gyrus,19.0,R,−36,−74,12,0.86
Middle occipital gyrus,19.0,L,33,−80,12,0.86
Middle temporal gyrus,39.0,R,47,−59,26,0.86
Uncus,20.0,R,36,−9,−35,0.86
Caudate head,,R,18,30,−3,0.86
Precuneus,7.0,R,3,−45,53,0.84
Middle frontal gyrus,9.0,L,−30,44,32,0.83
Supramarginal gyrus,40.0,R,51,−47,36,0.83
