Variable,Values at the time of MRI
N,"37,041"
"Age, years",64.12 (7.52)
"Female sex, N (%)","19,635 (53.0)"
"Height, cm, mean (SD)",169.07 (9.24)
"Weight, kg, mean (SD)",75.94 (15.06)
"BMI, kg/m2, mean (SD)",26.48 (4.37)
"Diabetes, N (%)","1,855 (5.0)"
"Ex-smoker, N (%)","12,334 (33.5)"
"Active smoker, N (%)","1,256 (3.4)"
"MAP, mmHg, mean (SD)",97.86 (11.89)
"PP, mmHg, mean (SD)",60.59 (15.16)
"SBP, mmHg, mean (SD)",138.26 (18.72)
"DBP, mmHg, mean (SD)",77.66 (10.65)
"ASI, mean (SD)",9.61 (2.91)
"Myocardial infarct, N (%)",169 (0.5)
"Angina, N (%)",202 (0.5)
"Hypertension diagnosis, N (%)","2,422 (6.5)"
"Antihypertensive medication, N (%)","8,269 (22.3)"
