Unnamed: 0,AD (n = 49),MCI (n = 66),HC (n = 33),F‐statistic,p‐value
Age,77.9 ± 6.3???,74.8 ± 6.9???,68.9 ± 7.4,17.01,<.001
Education years,3.9 ± 4.0???,5.5 ± 4.6,6.7 ± 5.2,3.91,.022
CDR,"1.2 ± 0.8???,???",0.6 ± 0.3???,0.4 ± 0.4,24.88???,<.001
K‐GDS,13.4 ± 7.1,14.0 ± 7.2,14.5 ± 7.0,0.23,.795
CERAD‐K cognitive tests,CERAD‐K cognitive tests,CERAD‐K cognitive tests,CERAD‐K cognitive tests,CERAD‐K cognitive tests,CERAD‐K cognitive tests
Total scores,"28.7 ± 12.6???,???",42.5 ± 10.7???,64.7 ± 11.8,86.17,<.001
MMSE,"13.7 ± 5.6???,???",19.9 ± 5.0???,24.4 ± 4.2,45.55,<.001
Constructional praxis,6.4 ± 2.5???,7.9 ± 2.6,9.1 ± 1.7,11.71,<.001
Word list memory,"6.2 ± 4.4???,???",9.6 ± 3.6???,16.7 ± 4.3,63.07,<.001
Word list recall,"0.5 ± 1.0???,???",1.7 ± 1.8???,5.7 ± 1.9,98.57???,<.001
Word list recognition,"3.1 ± 3.0???,???",5.2 ± 2.9???,9.2 ± 1.0,106.65???,<.001
Verbal fluency,"6.7 ± 4.0???,???",10.0 ± 3.3???,13.9 ± 3.8,36.28,<.001
Boston naming test,"5.6 ± 2.9???,???",8.1 ± 2.9???,11.1 ± 2.5,34.46,<.001
