Alzheimer's disease,reg.coef.,t‐value,p‐value,Mild cognitive impairment,reg.coef..1,t‐value.1,p‐value.1
Hippocampal subfields,Hippocampal subfields,Hippocampal subfields,Hippocampal subfields,FA,FA,FA,FA
CA1 (L),.0221,5.31,.0005,Anterior limb of internal capsule (L),.0189,5.93,.0002
Hippocampal tail (L),.0149,4.85,.0009,Genu of corpus callosum,.0176,4.86,.0009
Whole hippocampus (L),.0228,4.66,.0012,SFOF (R),.0203,4.82,.0009
CA1 (R),.0216,4.57,.0013,Retrolenticular part of internal capsule (L),.0136,4.42,.0017
Molecular layer (L),.0233,4.41,.0017,Fornix (cres)/stria terminalis (R),.0156,4.40,.0017
Whole hippocampus (R),.0212,4.40,.0017,Anterior limb of internal capsule (R),.0194,3.95,.0033
Subiculum (R),.0222,4.35,.0019,MD,MD,MD,MD
Molecular layer (R),.0219,4.30,.0020,Retrolenticular part of internal capsule (L),−.0177,−6.62,.0001
GC‐ML‐DG (L),.0217,4.08,.0027,Fornix (cres)/stria terminalis (L),−.0251,−6.35,.0001
CA4 (L),.0218,4.08,.0028,Sagittal stratum (L),−.0175,−6.14,.0002
CA2/3 (L),.0198,3.94,.0034,Posterior corona radiata (R),−.0220,−5.84,.0002
Hippocampal.fissure (R),.0207,3.86,.0038,Anterior limb of internal capsule (L),−.0195,−5.47,.0004
Parasubiculum (L),.0184,3.70,.0049,Posterior limb of internal capsule (R),−.0149,−5.10,.0006
FA,,,,Fornix (cres)/stria terminalis (R),−.0228,−4.48,.0015
FA global,.0132,4.95,.0008,Anterior corona radiata (R),−.0202,−4.35,.0018
Anterior corona radiata (L),.0187,4.36,.0018,Genu of corpus callosum,−.0204,−4.35,.0018
Genu of corpus callosum,.0177,4.25,.0021,Superior corona radiata (R),−.0172,−4.23,.0022
Posterior corona radiata (R),.0134,3.85,.0039,Posterior limb of internal capsule (L),−.0186,−4.20,.0023
MD,,,,Retrolenticular part of internal capsule (R),−.0160,−4.14,.0025
MD global,−.0191,−4.32,.0019,Sagittal stratum (R),−.0242,−3.87,.0038
Fornix (cres)/stria terminalis (L),−.0185,−4.23,.0022,Body of corpus callosum,−.0162,−3.86,.0038
Anterior corona radiata (R),−.0192,−3.96,.0033,Posterior corona radiata (L),−.0180,−3.86,.0039
Cingulum (cingulate gyrus) (R),−.0199,−3.84,.0039,Anterior limb of internal capsule (R),−.0181,−3.81,.0041
Healthy controls,Healthy controls,Healthy controls,Healthy controls,MD,MD,MD,MD
FA,,,,Genu of corpus callosum1,−.0178,−3.98,.0032
Cerebral peduncle (L)2,−.0730,−4.14,.0025,Anterior corona radiata (L)1,−.0146,−3.86,.0039
Cerebral_peduncle (L)3,−.0702,−3.91,.0036,Retrolenticular part of internal capsule (L)1,−.0203,−3.79,.0043
