N,26
Mean age (SD),71 (9)
Male:Female,18:8
Race/Ethnicity,Race/Ethnicity
White,21 (81%)
White-Hispanic,2 (8%)
Black,4 (15%)
Asian,1 (4%)
Mean # CV Risk Factors (IQR),2 (1)
Hyperlipidemia,20 (76%)
Hypertension,19 (73%)
Atrial fibrillation,8 (31%)
Diabetes,6 (23%)
Obstructive Sleep Apnea,5 (19%)
Tobacco use (in past 5 years),4 (15%)
Coronary artery disease,2 (8%)
Prior stroke (%),25 (96%)
Two or more strokes (%),7 (27%)
Prior TIA (%),5 (19%)
Median months since stroke/TIA (IQR),4 (2)
Median months study duration (IQR),18 (6)
Median study visits (IQR),4 (2)
Median baseline NIH stroke scale (IQR),0 (1)
Median baseline modified rankin score,1 (1)
Median chronic infarct volume ml (IQR),0.7 (1.8)
Median baseline WMH volume ml/% of TICV (IQR),16 (19)/1.0% (1.2)
Median voxel-wise WMH growth ml/% of TICV (IQR),2.9 (2.6)/0.22% (0.19)
