Unnamed: 0_level_0,AxD,AxD,RD,RD,FA,FA,MD,MD
Location,ρ (95% CI),p,ρ (95% CI),p,ρ (95% CI),p,ρ (95% CI),p
Corpus callosum,"0.36 (0.00, 0.64)",0.051???,"0.42 (0.07, 0.68)",0.022???,"−0.35 (−0.63, 0.01)",0.056???,"0.41 (0.06, 0.67)",0.024???
L cingulum,"0.33 (−0.04, 0.61)",0.078???,"0.56 (0.26, 0.77)",0.001???,"−0.51 (−0.74, −0.19)",0.004???,"0.53 (0.21, 0.75)",0.003???
R cingulum,"0.39 (0.04, 0.66)",0.033???,"0.52 (0.20, 0.74)",0.003???,"−0.42 (−0.68, −0.07)",0.022???,"0.49 (0.16, 0.72)",0.006???
L ILF,"0.25 (−0.12, 0.56)",0.187,"0.42 (0.07, 0.68)",0.022???,"−0.34 (−0.62, 0.02)",0.067???,"0.37 (0.01, 0.64)",0.046???
R ILF,"0.34 (−0.03, 0.62)",0.069???,"0.47 (0.13, 0.71)",0.009???,"−0.40 (−0.66, −0.05)",0.028???,"0.38 (0.02, 0.65)",0.038???
L SLF,"0.37 (0.01, 0.65)",0.043???,"0.42 (0.07, 0.68)",0.021???,"−0.27 (−0.57, 0.10)",0.153,"0.43 (0.08, 0.68)",0.019???
R SLF,"0.37 (0.01, 0.65)",0.043???,"0.44 (0.09, 0.69)",0.015???,"−0.38 (−0.65, −0.02)",0.038???,"0.45 (0.11, 0.70)",0.012???
L corticostriatal,"0.39 (0.03, 0.66)",0.034???,"0.44 (0.09, 0.69)",0.016???,"−0.31 (−0.60, 0.06)",0.100,"0.41 (0.06, 0.67)",0.024???
R corticostriatal,"0.41 (0.05, 0.67)",0.026???,"0.44 (0.09, 0.69)",0.016???,"−0.36 (−0.64, 0.00)",0.052???,"0.46 (0.12, 0.71)",0.010???
L corticothalamic,"0.39 (0.04, 0.66)",0.031???,"0.43 (0.09, 0.69)",0.017???,"−0.32 (−0.61, 0.04)",0.080???,"0.42 (0.07, 0.68)",0.022???
R corticothalamic,"0.38 (0.03, 0.65)",0.037???,"0.43 (0.09, 0.69)",0.017???,"−0.36 (−0.64, 0.00)",0.051???,"0.46 (0.12, 0.70)",0.011???
