Unnamed: 0_level_0,AxD,RD,FA,MD
Location,ρ (95% CI),ρ (95% CI),ρ (95% CI),ρ (95% CI)
Corpus callosum,"0.50 (−0.04, 0.82)","0.56 (0.04, 0.84)","−0.45 (−0.79, 0.11)","0.59 (0.09, 0.85)"
L cingulum,"0.41 (−0.16, 0.77)","0.66 (0.19, 0.88)","−0.65 (−0.88, −0.18)","0.73 (0.32, 0.91)"
R cingulum,"0.47 (−0.08, 0.80)","0.64 (0.17, 0.88)","−0.52 (−0.82, 0.01)","0.61 (0.12, 0.86)"
L ILF,"0.38 (−0.18, 0.76)","0.55 (0.02, 0.84)","−0.31 (−0.72, 0.26)","0.51 (−0.03, 0.82)"
R ILF,"0.48 (−0.07, 0.80)","0.61 (0.12, 0.86)","−0.49 (−0.81, 0.05)","0.57 (0.06, 0.85)"
L SLF,"0.49 (−0.05, 0.81)","0.49 (−0.05, 0.81)","−0.30 (−0.71, 0.28)","0.60 (0.11, 0.86)"
R SLF,"0.48 (−0.07, 0.81)","0.55 (0.03, 0.84)","−0.49 (−0.81, 0.06)","0.62 (0.13, 0.86)"
L corticostriatal,"0.50 (−0.04, 0.81)","0.56 (0.04, 0.84)","−0.36 (−0.75, 0.21)","0.56 (0.04, 0.84)"
R corticostriatal,"0.54 (0.01, 0.83)","0.55 (0.02, 0.84)","−0.46 (−0.80, 0.09)","0.70 (0.27, 0.90)"
L corticothalamic,"0.50 (−0.04, 0.81)","0.53 (0.00, 0.83)","−0.35 (−0.74, 0.22)","0.56 (0.04, 0.84)"
R corticothalamic,"0.56 (0.04, 0.84)","0.56 (0.04, 0.84)","−0.46 (−0.80, 0.09)","0.72 (0.30, 0.90)"
