Unnamed: 0,Control (n = 48),HIV (n = 78),p
Age,43.73 (13.51),46.87 (12.38),0.184
Years in education,16.42 (1.76),14.97 (2.46),< 0.001
NESB,10 (21%),8 (10%),0.099
FSIQ,121.42 (11.57),113.19 (13.42),0.001
BDI,4.90 (3.39),7.99 (7.36),0.002
BAI,3.67 (3.26),6.33 (7.16),0.005
PRMQ–prospective,56.81 (9.14),51.27 (10.84),0.004
PRMQ–retrospective,58.62 (7.75),54.53 (9.37),0.013
Alcohol units per week,11.59 (9.18),11.48 (9.29),0.948
Drug use in past 3 months,8 (17%),18 (23%),0.388
CD4 current,,691.38 (280.58),
CD4 nadir,,210.09 (128.64),
Illness duration1,,11.22 (6.52) (range 1–31),
Treatment duration1,,8.27 (5.05),
Time without treatment1,,2.95 (3.93),
CPE score,,6.73 (1.48),
Number diagnosed pre cART (< 1995),,11 (14%),
Number with metabolic comorbidities,,18 (23%),
