Demographics,Full sample N = 43,Non-Fallers N = 26,Fallers N = 17,p value,p value*
Age (mean ± SD),74.5 ± 5.9 [63–87],74.2 ± 5.9 [63–84],75 ± 6.1 [66–87],0.41,–
"Sex, # of females (%)",18 (41.9%),12 (46.2%),6 (35.3%),0.52,–
BMI,26 ± 4.1 [19–36],25.2 ± 4 [19–33],27.2 ± 4.1 [21–36],0.35,–
Years of Education,13.3 ± 2.6 [8–20],13.3 ± 1.9 [10–18],13.3 ± 3.4 [8–20],0.93,–
Cognitive performance,,,,,
MMSE,27.4 ± 2.5 [20−30],26.7 ± 2.7 [20–30],28.5 ± 1.7 [24–30],0.3,–
MoCA,23.7 ± 3.7 [12−30],23.3 ± 4.1 [12–30],24.2 ± 3.1 [19–29],0.58,–
Comorbidities,,,,,
Number of Comorbidities,5.7 ± 2.8 [0−13],5.6 ± 3.4 [0–13],5.8 ± 2.5 [0−11],0.87,–
hypertension,21 (48.8%),14 (53.8%),7 (41.2%),0.53,–
Diabetes,7 (16.3%),4 (15.4%),3 (17.6%),0.68,–
Osteoporosis,7 (16.3%),4 (15.4%),3 (17.6%),0.68,–
Chronic Lung Disease,3 (7%),3 (11.5%),0 (0%),0.54,–
Osteoarthritis,13 (30.2%),7 (26.9%),6 (35.3%),0.74,–
Cancer,15 (34.9%),11 (42.3%),4 (23.5%),0.19,–
Hearing Problems,19 (44.2%),11 (42.3%),8 (47.1%),1.0,–
Depression,12 (27.9%),7 (26.9%),5 (29.4%),0.72,–
Stroke,3 (7%),1 (3.8%),2 (11.8%),0.28,–
Visual Impairment,40 (93%),24 (92.3%),16 (94.1%),1.0,–
CHF/MI/Angina,2 (4.7%),1 (3.8%),1 (5.9%),1.0,–
Atrial fibrillation,2 (4.7%),1 (3.8%),1 (5.9%),1.0,–
WMH,,,,,
Volume of WMH (mL),12.3 ± 3.0,11.8 ± 2.0,13.2 ± 4.3,0.437,0.28
Quantitative Gait,,,,,
Usual Gait Velocity (mean ± SD) cm/s,108.2 ± 21.3 [57–165],109.6 ± 19.8 [66–151],106 ± 23.8 [57–165],0.26,0.09
Counting gait velocity cm/s,103.9 ± 26.8 [44–177],105.5 ± 26.4 [61–167],101.3 ± 28 [44–177],0.2,0.03
Serial 7 s velocity cm/s,90.5 ± 30.8 [37–181],89.7 ± 31.2 [37–168],91.7 ± 31.3 [39–181],0.59,0.16
Naming animals velocity cm/s,92.7 ± 27.9 [35–170],90.5 ± 28.7 [49–170],96.1 ± 27.1 [35–163],0.73,0.38
