Unnamed: 0,AD (n = 16),MCI (n = 16),CN (n = 16),p-value
Age (years),71.56 ± 5.93,70.88 ± 7.61,69.25 ± 7.83,0.648
Gender (M/F),7/9,7/9,7/9,0.923
Education (years),9.81± 3.62,10.25 ± 3.92,9.50± 3.54,0.848
CDR,0.84 ± 0.51,0.38 ± 0.22,0 ± 0,<0.001
MMSE,18.00 ± 3.43,26.63 ±1.09,28.63 ± 0.72,<0.001
MoCA,15.56 ± 3.05,24.00 ± 1.93,28.56 ± 0.81,<0.001
CDT,6.06 ± 1.39,7.69 ± 0.60,8.63 ± 0.50,<0.001
ADL,28.63 ± 6.27,22.25 ± 1.13,21.25 ± 0.86,<0.001
HAMD,1.19 ± 1.38,1.06 ± 1.12,0.44 ± 0.63,0.125
HIS,2.00 ± 0.82,1.88 ± 0.96,1.56 ± 0.81,0.346
