Unnamed: 0,VMHC(OFC)/p-value,VMHC(ACC)/p-value,VMHC(NAcc)/p-value,MMSE /p-value
FA,0.404/0.005???,0.417/0.004???,0.45/0.002???,0.488/0.001???
MD,-0.155/0.299,-0.221/0.135,-0.108/0.470,-0.313/0.032???
λ‖,0.112/0.452,0.042/0.778,0.204/0.169,-0.110/0.943
λ┴,-0.288/0.124,-0.292/0.047???,-0.193/0.195,-0.382/0.008???
Volume,0.216/0.145,0.052/0.727,0.178/0.232,0.339/0.002???
VMHC(OFC),-,,,0.447/0.002???
VMHC(ACC),0.57/0.000???,-,,0.442/0.002???
VMHC(NAcc),0.613/0.000???,0.488/0.001???,-,0.418/0.003???
VMHC(SMC),0.124/0.408,0.236/0.110,0.21/0.157,0.039/0.795
VMHC(OcG),0.077/0.609,0.475/0.001???,0.245/0.097,0.388/0.007???
