Characteristic,Good outcome(n = 30),Poor outcome(n = 20),p value
Age,56 ± 11,67 ± 11,< 0.01
Male,25 (83%),14 (70%),0.26
OHCA,30 (100%),20 (100%),
Shockable first rhythm,30 (100%),15 (75%),< 0.01
Duration of resuscitation (min),12 [10–15],23 [19–31],< 0.01
First lactate measured,3.6 [2.7–6.7],4.1 [3.1–5.4],0.57
GCS Motor score ≤ 3 at day 3,1 (3%),15 (75%),< 0.01
Bilaterally absent pupillary light response ≥ 72 h,0 (0%),4 (20%),0.01
SSEP performed,0 (0%),16 (80%),< 0.01
Absent SSEP response,0 (0%),4 (25%),0.01
EEG: continuous ≤ 12 h,15 (50%),1 (5%),< 0.01
EEG: suppressed pattern with or without superimposed synchronous activity ≥ 24 h,0 (0%),3 (15 %),0.03
Time to MRI (h),76 ± 24,77 ± 25,0.94
CPC score:,,,
- 1,13 (43),0,
- 2,17 (57),0,
- 3,0,3 (15),
- 4,0,0 (0),
- 5,0,17 (85),
