Unnamed: 0,LLD n = 35,HC n = 21,Statistics,p-value
Age (years),75.22 ± 6.4,74.76 ± 5.25,t = 0.30,p = 0.76
Age (years),60–91,64–84,,
Education (years),11.16 ± 3.78,11.12 ± 3.60,t = 0.05,p = 0.96
Education (years),5–19,4–17,,
Gender (male:female),9:26,5:16,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$\chi ^2$$\end{document}χ2 = 0.03,p = 0.87
Duration of depression (months),23.68 ± 20.68,,,
,0–60,,,
MADRS,26.46 ± 4.80,,,
MADRS,17–36,,,
AES,41.78 ± 8.71,,,
AES,27–61,,,
DRS,133.30 ± 6.74,,,
DRS,119–144,,,
TMT A,52.97 ± 27.97,39.42 ± 18.86,U = 687,p = 0.004
TMT A,10–172,26–111,,
TMT B-A,89.97 ± 59.52,77.92 ± 45.44,U = 484,p = 0.37
TMT B-A,0–295,28–198,,
Stroop test,− 80.71 ± 62,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$$-$$\end{document}- 56.16 ± 37.42,U = 250,p = 0.009
Interference score,− 400 to − 7,− 189 to − 18,,
Verbal fluencies,25.91 ± 9.18,27.58 ± 6.11,t = − 0.85,p = 0.36
Semantic,11–47,17–43,,
Verbal fluencies,18.58 ± 7.23,20.11 ± 5.89,t = 0.92,p = 0.40
Phonemic,3–37,8–31,,
