No.,MNI (x/y/z),size / mm³,C / p,anatomical localization
correlation FA and amyloid-ß,correlation FA and amyloid-ß,correlation FA and amyloid-ß,correlation FA and amyloid-ß,correlation FA and amyloid-ß
1,-22 / -48 / 14,340,0.78 / 0.0001,splenium / posterior part of the corpus callosum
correlation FA and tau,correlation FA and tau,correlation FA and tau,correlation FA and tau,correlation FA and tau
2,-30/-19/29,2420,-0.76 / 0.0002,left corticospinal tract
3,15/-4/46,1663,-0.77 / 0.0001,right frontal lobe
4,24/13/35,1272,-0.76 / 0.0002,right frontal lobe
5,30/-22/37,877,-0.78 / 0.0001,right parietal lobe
6,-17/-51/56,690,-0.72 / 0.0005,left corticospinal tract
7,18/-13/13,533,-0.67 / 0.002,right corticospinal tract
8,-38/-54/18,466,-0.60 / 0.007,left parietal lobe
9,21/14/40,378,-0.68 / 0.001,left frontal lobe
10,22/34/20,294,-0.72 / 0.0005,left frontal lobe
