Cognitive Task,PD-MCImean (SD),PD-NCmean (SD),Student's t,df,P,Cohen's d effect size
Block design,10.3 (2.8),12.0 (2.8),1.56,27,.130,0.609
CVLT (single trial),−2.0 (0.7),−0.7 (1.0),4.1,31,< .001*,1.483
CVLT (total),39.7 (10.0),48.2 (8.5),2.6,31,.013*,0.958
SDMT,−1.9 (0.6),−0.6 (0.8),4.5,30,.000*,1.8
VF letters,10.3 (3.5),12.5 (3.0),1.77,27,.087,0.693
VF categories,10.3 (3.2),11.5 (2.9),1.06,27,.301,0.412
TMT numbers,7.4 (3.1),10.4 (1.9),3.49,31,.001*,1.264
TMT switching,7.9 (3.4),11.0 (2.1),3.27,31,.003*,1.182
TMT motor,8.3 (3.1),10.7 (1.6),3.03,31,.005*,1.095
TMT scanning,7.0 (4.1),9.8 (2.3),2.52,31,.017*,0.913
Spatial span,10.7 (2.8),11.6 (2.6),0.84,27,.407,0.329
