Unnamed: 0_level_0,Tai Chi,Walking,t,p,Cohen’s d
Unnamed: 0_level_1,(n = 20),(n = 22),t,p,Cohen’s d
"Age, years",62.9 ± 2.4,63.27 ± 3.6,−0.393,0.193 a,−0.121
"Education, years",9.05 ± 1.8,8.86 ± 2.74,0.188,0.074 b,0.082
Handedness (left/right),0/20,0/22,,,
MMSE,28.5 ± 1.1,28.14 ± 1.0,1.1,0.636 b,0.342
Moca,28.4 ± 1.5,27.5 ± 1.5,1.94,0.83 b,0.6
RT(1-back)ms,629.26 ± 185.58,685.06 ± 111.94,0.133,0.196 a,−0.364
RT(2-back)ms,761.03 ± 146.61,855.73 ± 138.39,2.198,0.037 a,−0.664
Accuracy(1-back),0.95 ± 0.03,0.93 ± 0.08,1.078,0.30 a,0.331
Accuracy(2-back),0.91 ± 0.04,0.87 ± 0.06,2.522,0.016 a,0.784
