Tracts,Parameters,Age,Age.1,Age.2,P-value,Chi-square (χ2)
,,18-30 Years (n = 15),31-40 Years (n = 7),41-50 Years (n = 27),,
IFOF,Volume***,8.54 ± 7.20,14.42 ± 6.05,8.71 ± 5.07,0.019,7.957
IFOF,FA,0.50 ± 0.05,0.45 ± 0.03,0.48 ± 0.06,0.063,5.539
IFOF,MD***,0.86 ± 0.08,1.09 ± 0.13,0.96 ± 0.12,<0.001,16.482
SFOF,Volume,9.16 ± 6.15,12.06 ± 5.45,10.77 ± 8.26,0.291,2.47
SFOF,FA,0.50 ± 0.05,0.49 ± 0.05,0.50 ± 0.04,0.816,0.406
SFOF,MD,1.02 ± 0.18,0.94 ± 0.05,0.90 ± 0.09,0.085,4.941
SLF,Volume,8.57 ± 5.23,14.38 ± 8.52,11.46 ± 6.62,0.257,2.718
SLF,FA,0.49 ± 0.03,0.48 ± 0.05,0.49 ± 0.04,0.989,0.021
SLF,MD,0.88 ± 0.08,0.90 ± 0.08,0.93 ± 0.13,0.731,0.627
ILF,Volume,7.21 ± 4.93,8.68 ± 4.34,8.60 ± 4.83,0.494,1.412
ILF,FA,0.49 ± 0.05,0.49 ± 0.04,0.47 ± 0.05,0.424,1.718
ILF,MD,0.91 ± 0.10,0.94 ± 0.09,0.95 ± 0.13,0.560,1.161
Cingulum,Volume,6.85 ± 4.54,7.14 ± 7.61,5.03 ± 4.07,0.434,1.671
Cingulum,FA,0.47 ± 0.06,0.49 ± 0.06,0.46 ± 0.06,0.561,1.157
Cingulum,MD,0.94 ± 0.12,1.01 ± 0.20,0.94 ± 0.16,0.585,1.074
CST,Volume,5.97 ± 3.37,9.47 ± 8.75,6.89 ± 4.40,0.876,0.265
CST,FA,0.53 ± 0.05,0.52 ± 0.05,0.52 ± 0.05,0.584,1.076
CST,MD,0.85 ± 0.07,0.85 ± 0.08,0.89 ± 0.13,0.722,0.652
Forceps major,Volume,3.75 ± 4.08,3.51 ± 1.02,3.35 ± 3.07,0.513,1.333
Forceps major,FA,0.50 ± 0.07,0.50 ± 0.12,0.46 ± 0.06,0.058,5.711
Forceps major,MD,0.88 ± 0.08,0.90 ± 0.12,0.94 ± 0.14,0.633,0.913
Forceps minor,Volume,2.99 ± 1.78,3.20 ± 1.34,2.49 ± 1.55,0.394,1.861
Forceps minor,FA,0.50 ± 0.09,0.50 ± 0.07,0.48 ± 0.05,0.224,2.995
Forceps minor,MD,0.89 ± 0.17,0.90 ± 0.08,0.88 ± 0.09,0.538,1.24
Uncinate fasciculus,Volume,3.19 ± 1.76,2.66 ± 2.35,3.28 ± 1.96,0.658,0.837
Uncinate fasciculus,FA,0.46 ± 0.05,0.47 ± 0.05,0.46 ± 0.03,0.478,1.477
Uncinate fasciculus,MD,1.00 ± 0.21,0.88 ± 0.07,0.92 ± 0.12,0.411,1.777
ATR,Volume,2.62 ± 1.80,3.07 ± 1.99,2.89 ± 2.43,0.892,0.229
ATR,FA,0.49 ± 0.06,0.48 ± 0.07,0.45 ± 0.06,0.133,4.035
ATR,MD,0.88 ± 0.09,0.88 ± 0.15,0.88 ± 0.12,0.650,0.86
