Unnamed: 0_level_0,Principal component,Principal component,Principal component
Unnamed: 0_level_1,1 fluency,2 sorting,3 trails
Sorting,Sorting,Sorting,Sorting
Free sort confirmed correct,0.163,0.909,0.098
Free sort description,0.245,0.904,0.072
Tower test,Tower test,Tower test,Tower test
Total achievement score,0.182,0.424,−0.633
Trails,Trails,Trails,Trails
Visual scan,0.339,0.1,0.817
Number sequence,0.063,0.346,0.734
Letter sequence,0.377,0.513,0.495
Number-letter switching,0.597,0.119,0.350
Fluency,Fluency,Fluency,Fluency
Letter fluency,0.726,0.252,0.215
Category fluency,0.733,0.337,0.287
Correct response,0.909,0.146,−0.014
Switch accuracy,0.887,0.097,−0.112
