Unnamed: 0_level_0,ALS,ALS,PLS,PLS
Unnamed: 0_level_1,mean±SD,n,mean±SD,n
Sorting,Sorting,Sorting,Sorting,Sorting
Free sort confirmed correct,10.95±3.19,20,10.39±3.00,23
Free sort description,11.15±3.00,20,10.57±2.76,23
Sort recognition description,9.73±3.23,11,9.00±3.56,21
Total achieve score,10.40±2.52,20,10.63±2.34,24
Tower test,Tower test,Tower test,Tower test,Tower test
Total achievement,10.40±2.52,20,10.63±2.34,24
Mean first move time,12.24±3.51,17,13.64±2.72,22
Time per move ratio,6.32±3.59,19,7.91±2.70,23
Move accuracy ratio,10.59±1.50,17,9.64±1.50,22
Rule violations per item ratio,9.82±2.65,17,10.59±0.59,22
Trail making,Trail making,Trail making,Trail making,Trail making
Visual scanning,9.00±3.54,21,7.48±2.64,23
Number sequencing,9.57±3.14,21,9.39±3.43,23
Letter sequencing,9.62±3.79,21,10.09±2.92,23
Number-letter switching,9.57±4.02,21,10.30±2.79,23
Motor speed,9.00±3.73,21,9.30±2.10,23
Twenty questions,Twenty questions,Twenty questions,Twenty questions,Twenty questions
Initial abstraction,10.40±3.65,20,9.77±2.67,22
Total questions asked,10.95±3.25,20,10.36±3.39,22
Total weighted achievement,10.65±3.72,20,10.64±3.30,22
Verbal fluency,Verbal fluency,Verbal fluency,Verbal fluency,Verbal fluency
Letter fluency,9.86±3.60,21,10.05±3.34,22
Category fluency,10.52±4.93,21,9.95±2.38,22
Correct responses,11.67±3.67,21,9.86±3.00,22
Switch accuracy,11.76±2.86,21,10.14±2.49,22
Word context,Word context,Word context,Word context,Word context
Total consecutive correct,10.84±3.59,19,10.48±2.61,23
Proverbs,Proverbs,Proverbs,Proverbs,Proverbs
Free answer,10.79±4.08,19,10.74±2.12,23
