Parameter,bvFTD,svPPA,nfvPPA,p‐Value
FTD patients [log(1+WMH volume)],FTD patients [log(1+WMH volume)],FTD patients [log(1+WMH volume)],FTD patients [log(1+WMH volume)],FTD patients [log(1+WMH volume)]
Whole brain,"3.53 (3.30, 3.94)???","3.47 (3.33, 3.67)","3.52 (3.27, 3.79)",0.007
Periventricular WM,"3.38 (3.11, 3.73)???","3.29 (3.13, 3.46)???","3.41 (3.04, 3.69)",0.032
Deep WM,"2.88 (2.53, 3.41)???","2.77 (2.55, 3.01)","2.79 (2.31, 2.99)",0.001
Frontal lobe L,"1.62 (0.48, 2.37)???","1.55 (0.93, 2.08)","1.42 (0.00, 1.79)",0.007
Frontal lobe R,"1.58 (0.64, 2.52)???","1.70 (0.70, 2.08)","1.25 (0.00, 1.64)",0.002
Temporal lobe L,"1.16 (0.64, 1.93)???","1.21 (0.00, 1.91)???","0.64 (0.00, 1.27)",0.013
Temporal lobe R,"0.89 (0.00, 1.60)???","0.64 (0.00, 1.48)","0.64 (0.00, 1.16)",0.011
Parietal lobe L,"1.92 (1.25, 2.37)???","1.82 (1.29, 2.14)","1.56 (0.94, 2.18)",<0.001
Parietal lobe R,"1.98 (1.45, 2.46)???","1.71 (1.08, 2.21)","1.71 (1.01, 2.20)",0.003
Occipital lobe L,"2.04 (1.70, 2.51)???","2.11 (1.78, 2.26)","1.99 (1.71, 2.33)",0.151
Occipital lobe R,"2.34 (1.96, 2.64)???","2.17 (1.29, 2.32)","2.18 (0.89, 2.46)",0.001
Healthy controls [log(1+WMH volume)],Healthy controls [log(1+WMH volume)],Healthy controls [log(1+WMH volume)],Healthy controls [log(1+WMH volume)],Healthy controls [log(1+WMH volume)]
Whole brain,"3.29 (3.09, 3.60)???","3.29 (3.07, 3.58)","3.40 (3.10, 3.65)",
Periventricular WM,"3.17 (2.80, 3.48)???","3.10 (2.94, 3.39)???","3.23 (3.00, 3.53)",
Deep WM,"2.55 (2.20, 2.92)???","2.59 (2.39, 2.97)","2.75 (2.36, 2.97)",
Frontal lobe L,"0.89 (0.00, 1.50)???","1.05 (0.16, 1.96)","0.89 (0.32, 1.72)",
Frontal lobe R,"0.89 (0.00, 1.58)???","1.28 (0.64, 2.07)","1.25 (0.00, 1.83)",
Temporal lobe L,"0.00 (0.00, 1.05)???","0.64 (0.00, 1.01)???","0.00 (0.00, 0.89)",
Temporal lobe R,"0.00 (0.00, 0.64)???","0.64 (0.00, 1.01)","0.00 (0.00, 1.21)",
Parietal lobe L,"1.39 (0.64, 1.95)???","1.36 (0.70, 2.00)","1.58 (0.89, 2.25)",
Parietal lobe R,"1.68 (0.89, 2.15)???","1.85 (1.37, 2.21)","1.74 (1.05, 2.12)",
Occipital lobe L,"1.91 (0.89, 2.28)???","2.07 (1.57, 2.31)","1.74 (0.77, 2.31)",
Occipital lobe R,"2.11 (1.39, 2.40)???","2.17 (1.85, 2.45)","2.34 (1.78, 2.58)",
