Region,Parameters,Unnamed: 2_level_0,MANOVA,Unnamed: 4_level_0,Control vs Pre-HD,Control vs HD,Pre-HD vs HD
Unnamed: 0_level_1,Unnamed: 1_level_1,F,df,P,P,P,P
,FA,11.72,"2,95",0.0,0.128,0.001,0.007
Hemi DWM L,AD,41.226,"2,95",0.0,0.033,0.001,0.001
,RD,42.081,"2,95",0.0,0.002,0.001,0.001
,R2???,3.956,"2,85",0.023,0.027,0.392,0.009
,FA,15.459,"2,95",0.0,0.025,0.001,0.008
Hemi DWM R,AD,32.857,"2,95",0.0,0.013,0.001,0.001
,RD,33.854,"2,95",0.0,0.004,0.001,0.001
,R2???,4.217,"2,85",0.018,0.007,0.945,0.023
,FA,9.489,"2,95",0.0,0.284,0.001,0.008
AF L,AD,7.662,"2,95",0.001,0.358,0.001,0.014
,RD,12.412,"2,95",0.001,0.097,0.001,0.007
,R2???,4.184,"2,85",0.018,0.009,0.921,0.018
,FA,9.259,"2,95",0.001,0.204,0.001,0.013
AF R,AD,5.869,"2,95",0.004,0.832,0.001,0.011
,RD,12.739,"2,95",0.001,0.183,0.001,0.003
,R2???,0.106,"2,85",0.899,0.773,0.809,0.647
,FA,10.908,"2,95",0.0,0.132,0.001,0.01
SLF L,AD,25.772,"2,95",0.0,0.007,0.001,0.001
,RD,26.074,"2,95",0.0,0.003,0.001,0.001
,R2???,5.118,"2,85",0.008,0.035,0.133,0.002
,FA,14.621,"2,95",0.0,0.023,0.001,0.013
SLF R,AD,18.941,"2,95",0.0,0.02,0.001,0.002
,RD,22.77,"2,95",0.0,0.002,0.001,0.004
,R2???,2.184,"2,85",0.119,0.194,0.276,0.04
,FA,11.218,"2,95",0.0,0.453,0.001,0.001
Cing L,AD,1.282,"2,95",0.282,0.131,0.366,0.603
,RD,18.397,"2,95",0.0,0.052,0.001,0.001
,R2???,2.331,"2,85",0.103,0.092,0.499,0.042
,FA,5.607,"2,95",0.005,0.852,0.002,0.006
Cing R,AD,0.573,"2,95",0.566,0.343,0.85,0.339
,RD,7.015,"2,95",0.001,0.904,0.001,0.003
,R2???,3.669,"2,85",0.03,0.018,0.721,0.019
,FA,8.587,"2,95",0.0,0.089,0.001,0.05
ILF L,AD,7.036,"2,95",0.001,0.768,0.001,0.002
,RD,12.574,"2,95",0.0,0.218,0.001,0.002
,R2???,1.804,"2,85",0.171,0.193,0.395,0.064
,FA,7.896,"2,95",0.001,0.337,0.001,0.014
ILF R,AD,2.333,"2,95",0.102,0.764,0.035,0.129
,RD,10.176,"2,95",0.0,0.381,0.001,0.003
,R2???,3.79,"2,85",0.027,0.056,0.235,0.008
,FA,8.716,"2,95",0.0,0.146,0.001,0.027
IFO L,AD,15.865,"2,95",0.0,0.277,0.001,0.0
,RD,23.041,"2,95",0.0,0.064,0.001,0.0
,R2???,3.781,"2,85",0.027,0.05,0.262,0.008
,FA,17.85,"2,95",0.0,0.006,0.001,0.014
IFO R,AD,19.794,"2,95",0.0,0.595,0.001,0.0
,RD,47.271,"2,95",0.0,0.005,0.001,0.0
,R2???,7.113,"2,85",0.001,0.003,0.327,0.001
,FA,0.148,"2,95",0.862,0.593,0.803,0.81
ATR L,AD,32.937,"2,95",0.0,0.022,0.001,0.001
,RD,16.961,"2,95",0.0,0.022,0.001,0.005
,R2???,2.368,"2,85",0.1,0.16,0.283,0.033
,FA,0.848,"2,95",0.431,0.344,0.263,0.887
ATR R,AD,30.096,"2,95",0.0,0.019,0.001,0.001
,RD,15.608,"2,95",0.0,0.025,0.001,0.008
,R2???,3.577,"2,85",0.032,0.032,0.463,0.014
,FA,3.174,"2,95",0.046,0.352,0.014,0.193
UF L,AD,1.214,"2,95",0.302,0.413,0.306,0.124
,RD,2.577,"2,95",0.081,0.757,0.027,0.11
,R2???,0.893,"2,85",0.413,0.274,0.282,0.997
,FA,10.228,"2,95",0.0,0.017,0.001,0.114
UF R,AD,4.421,"2,95",0.015,0.753,0.004,0.032
,RD,10.889,"2,95",0.0,0.064,0.001,0.024
,R2???,2.673,"2,85",0.075,0.087,0.046,0.785
