Parcellation,IPF,BNP,CPL,GE,NS,Mod,CC,EC
Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas,Differences on DK84 Atlas
AD vs. MCI,↑c,↑c,ns,ns,ns,ns,ns,ns
AD vs. NC,↑a,↑a,↑a,↓a,↓a,↑b,↑a,↑b
MCI vs. NC,↑a,↑a,↑a,↓a,↓a,↑b,↑a,↑b
Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas,Differences on AAL90 Atlas
AD vs. MCI,↑b,↑c,ns,ns,↓c,↑c,ns,ns
AD vs. NC,↑a,↑a,↑b,↓b,↓a,↑b,↓b,↑b
MCI vs. NC,↑a,↑a,↑b,↓b,↓b,↑b,↓c,↑b
Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas,Differences on DK272 Atlas
AD vs. MCI,↑b,↑c,↑c,↓c,ns,ns,ns,ns
AD vs. NC,↑a,↑a,↑b,↓b,↓a,↑b,↑c,↑b
MCI vs. NC,↑b,↑b,↑b,↓b,↓b,↑c,↑b,↑c
