Across Groups,Across Groups.1,Across Groups.2,Across Groups.3,Unnamed: 4,Dunn’s Test of Multiple Comparisons with Holm–Sidak Adjustment Z; p-Value,Dunn’s Test of Multiple Comparisons with Holm–Sidak Adjustment Z; p-Value.1,Dunn’s Test of Multiple Comparisons with Holm–Sidak Adjustment Z; p-Value.2
,AD,HC,MCI,KRUSKAL–WALLIS RANK SUM TEST,AD vs HC,AD vs. MCI,HC vs. MCI
SI30,,,,,,,
N (female),7 (3),38 (25),23 (14),–,–,–,–
AGE,75.9 (8.6),70.1 (4.0),70.9 (8.1),H = 5.8; p = 0.054,–,–,–
MMSE,19.6 (4.9),29.4 (0.9),28.3 (1.7),H = 26.6; p < 0.001 *,Z = −4.96; p < 0.001 *,Z = −3.16; p = 0.002 *,Z = 2.56; p = 0.010 *
MoCA,12.6 (4.1),25.7 (2.6),22.5 (3.8),H = 23.9; p < 0.001 *,Z = −4.64; p < 0.001 *,Z = −2.48; p = 0.013 *,Z = 2.55; p = 0.011 *
ADAS,23.1 (4.0),8.6 (2.8),11.7 (3.0),H = 26.8; p < 0.001 *,Z = 4.84; p < 0.001 *,Z = 2.54; p = 0.011 *,Z = −2.92; p = 0.003 *
GE48,,,,,,,
N (female),12 (2),41 (27),20 (9),–,–,–,–
AGE,75.6 (5.4),70.8 (5.8),72.7 (9.3),H = 4.7; p = 0.094,–,–,–
MMSE,23.7 (1.9),29.3 (0.9),27.3 (2.0),H = 40.6; p < 0.001 *,Z = −5.78; p < 0.001 *,Z = −2.64; p = 0.008 *,Z = 3.42; p = 0.001 *
MoCA,16.1 (3.3),25.4 (2.6),21.4 (3.4),H = 35.7; p < 0.001 *,Z = −5.59; p < 0.001 *,Z = −2.09; p = 0.036 *,Z = 3.52; p < 0.001 *
ADAS,22.2 (6.2),8.5 (2.3),14.6 (5.2),H = 38.0; p < 0.001 *,Z = 5.68; p < 0.001 *,Z = 1.93; p = 0.054,Z = −3.85; p < 0.001 *
SI54,,,,,,,
N (female),11 (3),80 (56),36 (18),–,–,–,–
AGE,72.1 (9.2),69.6 (6.2),71.7 (6.5),H = 6.13; p = 0.051,–,–,–
MMSE,24.1 (3.2),28.9 (1.2),27.3 (2.3),H = 35.76; p < 0.001*,Z = −5.09; p < 0.001 *,Z = −2.39; p = 0.02 *,Z = 4.06; p < 0.001 *
MoCA,17.6 (3.0),25.3 (2.7),21.6 (2.8),H = 45.41; p < 0.001*,Z = −5.65; p < 0.001 *,Z = −2.20; p = 0.03 *,Z = 4.76; p < 0.001 *
ADAS,19.4 (4.6),8.5 (2.2),12.6 (3.8),H = 47.34; p < 0.001*,Z = 5.93; p < 0.001 *,Z = 2.54; p = 0.01 *,Z = −4.63; p < 0.001 *
Across Scanners,Across Scanners,Across Scanners,Across Scanners,,Dunn’s Test of Multiple Comparisons with Holm-Sidak Adjustment Z; p-Value,Dunn’s Test of Multiple Comparisons with Holm-Sidak Adjustment Z; p-Value,Dunn’s Test of Multiple Comparisons with Holm-Sidak Adjustment Z; p-Value
,SI30,GE48,SI54,KRUSKAL–WALLIS RANK SUM TEST,GE48 vs. SI30,GE48 vs. SI54,S30 vs. SI54
HC,,,,,,,
N (female),38 (25),41 (27),80 (56),–,–,–,–
AGE,70.08 (4.04),70.79 (5.75),69.65 (6.27),H = 1.50; p = 0.52,,–,–
MMSE,29.37 (0.94),29.33 (0.89),28.96 (1.16),H = 3.91; p = 0.14,–,–,–
MoCA,25.71 (2.61),25.45 (2.63),25.27 (2.68),H = 0.39; p = 0.82,–,–,–
ADAS,8.59 (2.76),8.47 (2.25),8.54 (2.16),H = 0.10; p = 0.95,–,–,–
MCI,,,,,,,
N (female),23 (14),20 (9),36 (18),–,–,–,–
AGE,70.89 (8.14),72.68 (9.31),71.75 (6.56),H = 0.21; p = 0.90,–,–,–
MMSE,28.30 (1.69),27.30 (2.00),27.30 (2.25),H = 4.41; p = 0.11,–,–,–
MoCA,22.47 (3.81),21.44 (3.37),21.62 (2.82),H = 1.59; p = 0.45,–,–,–
ADAS,11.74 (3.02),14.58 (5.18),12.55 (3.77),H = 2.38; p = 0.30,–,–,–
AD,,,,,,,
N (female),7 (3),12 (2),11 (3),–,–,–,–
AGE,75.8 (8.6),75.6 (5.4),72.1 (9.2),H = 1.14; p = 0.57,–,–,–
MMSE,19.52 (4.91),23.62 (1.92),24.14 (3.21),H = 5.97; p = 0.05,–,–,–
MoCA,12.57 (4.12),16.11 (3.43),17.51 (3.03),H = 6.90; p = 0.03 *,Z = 1.55; p = 0.122,Z = −1.28; p = 0.201,Z = −2.62; p = 0.010 *
ADAS,23.11 (4.02),22.23 (6.71),19.42 (4.61),H = 4.62; p = 0.10,–,–,–
