Diffusion MRI,SIEMENS 30 dir + 1 b0,GE 32 dir + 4 b0,GE 41 dir + 5 b0,GE 48 dir + 6 b0,SIEMENS 48 dir + 2 b0 *,SIEMENS 54 dir + 2 b0
Manufacturer,Siemens,GE,GE,GE,Siemens,Siemens
Model,Verio,DISCOVERY MR750,DISCOVERY MR750,DISCOVERY MR750,Prisma Fit,Prisma Fit
Repetition time (TR) (ms),"12,400","15,354",9050,7800,3400,7200
Echo time (TE) (ms),95,74.6,62.8,60.9,71,56
Voxel size (mm3),2.0 × 2.0 × 2.0,0.9 × 0.9 × 2.0,1.4 × 1.4 × 2.7,0.9 × 0.9 × 2.0,2.0 × 2.0 × 2.0,2.0 × 2.0 × 2.0
Flip-angle,90°,90°,90°,90°,90°,90°
N directions,30,32,41,48,126 **,54
N b0 images,1,4,5,6,2,2
b value (s/mm2),1000,1000,1000,1000,"500, 1000, 2000 **",1000
