Unnamed: 0_level_0,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI + LMCI,EMCI,EMCI,EMCI,EMCI,LMCI,LMCI,LMCI,LMCI
Unnamed: 0_level_1,Moderate Effect,Moderate Effect,Strong Effect,Strong Effect,Very Strong Effect,Very Strong Effect,Moderate Effect,Moderate Effect,Strong Effect,Strong Effect,Moderate Effect,Moderate Effect,Strong Effect,Strong Effect
JHU WM Tractography,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>
Anterior thalamic radiation L,36.14,−0.42,19.31,−0.57,-,-,25.15,−0.44,8.49,−0.54,20.03,−0.4,1.75,0.54
Anterior thalamic radiation R,37.18,−0.4,14.2,−0.52,-,-,25.23,−0.45,7.8,−0.53,8.34,−0.38,-,-
Cortical spinal tract L,10.33,−0.35,2.14,−0.56,-,-,9.97,−0.42,1.56,−0.54,6.61,−0.37,-,-
Cingulum cingulate gyrus L,43.89,−0.4,19.01,−0.54,-,-,34.26,−0.42,8.53,−0.51,21.53,−0.39,2,0.55
Cingulum cingulate gyrus R,40.64,−0.38,17.15,−0.51,-,-,24.78,−0.38,4.16,−0.48,21.82,−0.39,-,-
Cingulum hippo L,39.17,−0.42,27.38,−0.58,-,-,-,-,-,-,28.48,−0.4,1.87,0.54
Forceps major,31.1,−0.4,13.15,−0.58,-,-,17.79,−0.38,-,-,20.42,−0.44,5.5,0.59
Forceps minor,39.85,−0.4,14.6,−0.54,-,-,33.46,−0.42,8.44,−0.53,11.41,−0.42,0.82,0.64
Inferior fronto-occipital fasc L,51.33,−0.46,32.83,−0.61,1.47,−0.79,44.18,−0.45,19.35,−0.53,27.48,−0.43,6.36,0.6
Inferior fronto-occipital fasc R,44.27,−0.4,19.53,−0.54,-,-,36.78,−0.42,8.95,−0.5,14.42,−0.4,0.73,0.59
Inferior longitudinal fasc L,42.96,−0.47,30.54,−0.63,2.25,−0.79,36.37,−0.45,16.66,−0.53,28.89,−0.43,6.37,0.59
Inferior longitudinal fasc R,42.23,−0.42,25.27,−0.59,-,-,36.94,−0.41,9.5,−0.5,22.18,−0.4,1.5,0.55
Superior longitudinal fasc L,43.93,−0.42,23.91,−0.59,0.32,−0.78,36.32,−0.44,14.74,−0.51,24.19,−0.41,1.66,0.6
Superior longitudinal fasc R,28.09,−0.36,8.67,−0.52,-,-,24.22,−0.39,-,-,10.75,−0.37,-,-
Uncinate fasc L,47.56,−0.44,26.51,−0.56,0.59,−0.76,39.48,−0.45,15.19,−0.52,21.78,−0.42,3.58,0.58
Uncinate fasc R,44.64,−0.43,22.72,−0.56,-,-,36.87,−0.43,7.85,−0.53,18.58,−0.4,-,-
Sup longitudinal fasc temporal L,48.95,−0.45,31.48,−0.61,0.76,−0.78,43.23,−0.45,20.76,−0.51,28.22,−0.41,1.9,0.58
Sup longitudinal fasc temporal R,35.97,−0.38,11.78,−0.53,-,-,34.9,−0.41,-,-,13.18,−0.37,-,-
ICBM-DTI 81,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>,% Vol,<ρ>
Genu of corpus callosum,49.98,−0.36,8.89,−0.59,-,-,36.52,−0.37,4.25,−0.64,17.06,−0.37,0.66,−0.58
Body of corpus callosum,30.2,−0.31,4.14,−0.55,-,-,11.3,−0.35,0.39,−0.62,19.44,−0.39,3.84,−0.52
Splenium of corpus callosum,26.36,−0.37,13.56,−0.63,-,-,7.57,−0.31,-,-,23.54,−0.46,14.68,−0.56
Fornix (column and body of fornix),64.19,−0.44,40.21,−0.68,-,-,-,-,-,-,62.06,−0.44,-,-
Retrolenticular part of internal capsule R,17.65,−0.33,5.25,−0.56,-,-,19.72,−0.36,2.62,−0.58,1.83,−0.3,-,-
Retrolenticular part of internal capsule L,40.58,−0.45,24.58,−0.73,1.46,−0.72,34.26,−0.48,15.92,−0.76,29.16,−0.39,1.7,−0.54
Anterior corona radiata R,71.48,−0.42,22.82,−0.61,-,-,75.38,−0.47,16.88,−0.7,2.48,−0.36,-,-
Anterior corona radiata L,76.62,−0.45,34,−0.67,-,-,71.75,−0.49,25.06,−0.7,26.08,−0.4,-,-
Superior corona radiata R,24.89,−0.34,-,-,-,-,42.84,−0.39,-,-,0.48,−0.36,-,-
Superior corona radiata L,46.46,−0.35,7.54,−0.57,-,-,46.5,−0.42,6.53,−0.68,19.66,−0.39,0.61,−0.6
Posterior corona radiata R,23.66,−0.33,8.99,−0.57,-,-,20.25,−0.33,-,-,7.99,−0.39,-,-
Posterior corona radiata L,40.79,−0.35,11.95,−0.56,-,-,36.86,−0.36,2.67,−0.62,22.78,−0.37,-,-
Posterior thalamic radiation R,46.48,−0.38,17.4,−0.6,-,-,31.92,−0.39,0.15,−0.68,25.35,−0.39,-,-
Posterior thalamic radiation L,53.27,−0.47,36.15,−0.71,-,-,41.05,−0.43,11.71,−0.65,34.26,−0.46,9.48,−0.6
Sagittal stratum R,58.3,−0.41,36.76,−0.63,-,-,57,−0.39,16.56,−0.61,25.94,−0.33,0.72,−0.52
Sagittal stratum L,50.69,−0.46,39.89,−0.71,4.26,−0.79,48.81,−0.46,30.39,−0.65,25.68,−0.36,5.47,−0.53
External capsule R,44.22,−0.36,14.92,−0.57,-,-,34.17,−0.37,1.82,−0.6,20.32,−0.38,-,-
