fw-FA,fw-FA.1,fw-FA.2,fw-FA.3
Group,Mean,F-stat,Post hoc
CN,0.412 ± 0.024,F = 0.101; p = 0.904,t = −0.178; p = 0.983
EMCI,0.412 ± 0.021,F = 0.101; p = 0.904,t = 0.380; p = 0.924
LMCI,0.411 ± 0.025,F = 0.101; p = 0.904,t = 0.448; p = 0.896
fw-AX (×10−3),fw-AX (×10−3),fw-AX (×10−3),fw-AX (×10−3)
Group,Mean,F-stat,Post hoc
CN,0.842 ± 0.053,F = 0.610; p = 0.543,t = 0.849; p = 0.673
EMCI,0.838 ± 0.046,F = 0.610; p = 0.543,t = −0.563; p = 0.840
LMCI,0.846 ± 0.046,F = 0.610; p = 0.543,t = −1.034; p = 0.556
fw-RD (×10−3),fw-RD (×10−3),fw-RD (×10−3),fw-RD (×10−3)
Group,Mean,F-stat,Post hoc
CN,0.426 ± 0.044,F = 0.392; p = 0.676,t = 0.170; p = 0.984
EMCI,0.425 ± 0.038,F = 0.392; p = 0.676,t = −0.830; p = 0.685
LMCI,0.431 ± 0.043,F = 0.392; p = 0.676,t = −0.839; p = 0.679
f-index,f-index,f-index,f-index
Group,Mean,F-stat,Post hoc
CN,0.294 ± 0.041,F = 28.00; p < 0.001,t = −6.822; p < 0.001 ***
EMCI,0.321 ± 0.042,F = 28.00; p < 0.001,t = −4.128; p < 0.001 ***
LMCI,0.317 ± 0.040,F = 28.00; p < 0.001,t = 0.692; p = 0.768
