Unnamed: 0,PD-MCI (n = 68),PD-NC (n = 52),P value
Age (years),64.43 ± 7.86,62.73 ± 7.79,0.242a
Gender (male/female),36/32,28/24,0.922b
Education (years),9.0 (7.3–12.0),9.0 (9.0–12.0),0.111c
Disease duration (years),4.5 (2.0–7.0),3 (2.0–6.0),0.510c
MDS-UPDRS-IIII,25.55 ± 10.84,23.54 ± 13.47,0.366a
H&Y stage,2.0 (1.5–3.0),2.0 (1.5–2.5),0.337c
LEDD (mg),363.97 ± 73.10,356.02 ± 108.17,0.632a
MMSE,25.17 ± 2.20,28.47 ± 1.33,< 0.001a**
MoCA,21.65 ± 2.78,26.71 ± 1.59,< 0.001a*
CDT,6.5(5.0–9.0),8.0 (7.0–10.0),< 0.001c**
AVLT,30.31 ± 4.44,40.48 ± 3.23,< 0.001a**
TMT-A,74.49 ± 18.36,67.65 ± 18.30,0.045a**
TMT-B,221.18 ± 59.78,167.14 ± 60.17,< 0.001a**
HAMD,13.08 ± 6.81,11.85 ± 6.41,0.317a
