Characteristic,"Controls, n = 18","Controls, n = 18","MAPT, n = 8","MAPT, n = 8","C9ORF72, n = 4","C9ORF72, n = 4","Sporadic, n = 11","Sporadic, n = 11","All bvFTD, n = 23","All bvFTD, n = 23",p???
Unnamed: 0_level_1,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Unnamed: 11_level_1
"Age at baseline, yr",61.3,9.5,56.7,8.9,64.1,8.7,68.8,8.4,63.8,10.0,0.4
"Disease duration at baseline, yr",,,5.2,5.4,9.3,5.9,6.8,4.7,6.7,5.1,
"Sex, M/F, No.",12/6,12/6,5/3,5/3,4/0,4/0,10/1,10/1,18/5,18/5,0.7???
"Interscan interval, yr",1.4,0.5,1.3,0.5,1.0,0.1,1.2,0.5,1.2,0.4,0.2
"Education, yr",16.55,1.42,14.6,3.9,15.5,4.1,16.6,3.0,15.5,3.5,0.3
MMSE baseline,29.7,0.6,25.5,4.2,2.5,6.9,25.8,3.4,25.3,4.2,<0.001???
MMSE follow-up,29.7,0.5,26.3,5.4,25.3,4.3,25.1,3.5,25.6,4.2,0.002???
"TIV, ml","1,572",134,"1,503",135,"1,649",135,"1,565",123,"1,556",137,0.6
"Whole brain volume, baseline, ml","1,193",91,"1,047",88,"1,192",93,"1,026",48,"1,070",95,0.001
"Whole brain volume, follow-up, ml","1,184",95,"1,028",95,"1,167",93,"1,001",37,"1,047",95,<0.001
"BBSI, ml/yr",5.2,6.7,15.7,6.7,14.4,17.8,14.8,10.6,15.2,10.4,0.002
