Measure,"Control, n = 18","Control, n = 18","Control, n = 18","Control, n = 18","Control, n = 18","bvFTD, n = 23","bvFTD, n = 23","bvFTD, n = 23","bvFTD, n = 23","bvFTD, n = 23","p, Baseline","p, Change"
Unnamed: 0_level_1,Baseline,Baseline,Change Over Time from Baseline,Change Over Time from Baseline,Baseline,Baseline,Change Over Time from Baseline,Change Over Time from Baseline,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
Unnamed: 0_level_2,Raw Score,SD,%/yr,95% CI,95% CI,Raw Score,SD,%/yr,95% CI,95% CI,Unnamed: 11_level_2,Unnamed: 12_level_2
WASI,,,,,,,,,,,,
VIQ,122.1,9.4,−2.6,−6.2,1.0,87.3,22.1,0.1,−5.0,5.3,<0.001,0.96
PIQ,120.1,9.2,−1.4,−4.6,1.9,89.9,19.3,4.0,−0.7,8.7,<0.001,0.09
Recognition memory test,Recognition memory test,,,,,,,,,,,
Words (/50),47.9,2.6,0.7,−4.1,5.5,33.3,6.6,0.0,−7.0,7.0,<0.001,1.00
Faces (/50),43.4,4.6,2.3,−2.7,7.3,36.0,8.3,−5.5,−12.7,1.8,<0.001,0.14
Graded naming test (/30),26.4,2.2,2.0,−9.2,13.2,11.6,8.5,−30.4,−47.2,−13.6,<0.001,<0.001
Graded arithmetic test (/24),14.7,4.5,−3.1,−11.6,5.4,13.0,6.4,−8.9,−21.0,3.1,0.24,0.15
Visual object space perception (/20),19.1,1.0,−2.3,−11.0,6.3,16.0,3.8,6.0,−6.6,18.5,0.002,0.35
Executive function,,,,,,,,,,,,
DKEFS color naming (max 90 seconds),30.2,3.2,0.9,−7.0,8.8,42.3,20.3,5.4,−6.0,16.8,0.01,0.35
DKEFS ink color naming (max 180 seconds),55.7,11.6,0.1,−6.3,6.5,88.8,37.6,8.1,−1.1,17.3,<0.001,0.08
TASIT???,,,,,,,,,,,,
Emotion recognition (/14),11.4,1.2,−1.2,−10.7,8.4,8.0,1.9,−3.7,−17.3,9.9,<0.001,0.59
Social inference task (/36),32.1,2.9,2.0,−3.9,7.9,22.5,4.8,−5.1,−13.4,3.3,<0.001,0.23
