Region of Interest,"bvFTD, n = 19","bvFTD, n = 19","bvFTD, n = 19","bvFTD, n = 19","bvFTD, MAPT, n = 8","bvFTD, MAPT, n = 8","bvFTD, MAPT, n = 8","bvFTD, MAPT, n = 8","bvFTD, Sporadic, n = 7","bvFTD, Sporadic, n = 7","bvFTD, Sporadic, n = 7","bvFTD, Sporadic, n = 7","bvFTD, C9ORF72, n = 4","bvFTD, C9ORF72, n = 4","bvFTD, C9ORF72, n = 4","bvFTD, C9ORF72, n = 4"
Unnamed: 0_level_1,%/yr Change,95% CI,95% CI.1,p,%/yr Change,95% CI,95% CI.1,p,%/yr Change,95% CI,95% CI.1,p,%/yr Change,95% CI,95% CI.1,p
FA,,,,,,,,,,,,,,,,
Genu CC,−2.0,−4.7,0.3,0.09,−2.0,−5.2,1.2,0.22,−3.1,−5.5,−0.8,0.01,0.5,−1.9,2.9,0.68
Body CC,−2.4,−4.0,−0.8,0.003,−3.3,−4.8,−1.8,<0.001,−1.5,−3.4,0.4,0.12,−2.1,−4.7,0.6,0.13
Splenium CC,−2.1,−2.4,−0.7,0.001,−1.4,−2.4,−0.4,0.004,−1.4,−2.4,−0.4,0.005,−2.1,−3.8,−0.3,0.02
Cingulum (paracallosal) R,−6.8,−8.0,−2.7,<0.001,−4.0,−7.2,−0.8,0.01,−6.7,−10.0,−3.4,<0.001,−6.8,−11.3,−2.2,0.004
Cingulum (paracallosal) L,−5.5,−6.9,−2.2,<0.001,−4.6,−7.4,−1.8,0.001,−5.6,−8.3,−2.8,<0.001,−1.7,−5.6,2.1,0.38
Cingulum (parahippocampal) R,3.5,−3.4,2.7,0.82,−1.5,−5.2,2.2,0.42,1.9,−1.9,5.7,0.98,−2.7,−8.9,3.5,0.39
Cingulum (parahippocampal) L,−1.8,−7.7,0.9,0.12,−6.5,−11.2,−1.8,0.007,0.1,−5.4,5.6,0.01,−2.4,−11.4,6.6,0.6
Fornix,−1.2,−4.1,0.3,0.09,−1.8,−4.6,0.9,0.19,−2.7,−5.0,−0.5,0.02,0.8,−1.2,2.8,0.45
Uncinate fasciculus R,−4.2,−8.1,−2.7,<0.001,−7.2,−9.7,−4.7,<0.001,−3.5,−7.2,0.2,0.07,−4.3,−9.1,0.5,0.08
Uncinate fasciculus L,−3.1,−8.6,−1.5,0.005,−7.9,−12.0,−3.7,<0.001,−1.5,−4.6,1.6,0.34,−4.8,−9.6,−0.1,0.05
Corticospinal tract R,−2.9,−8.6,0.3,0.07,−3.4,−8.5,1.7,0.19,−6.6,−12.5,−0.7,0.03,0.5,−7.5,8.4,0.91
Corticospinal tract L,−1.8,−8.2,0.1,0.06,−4.0,−9.1,1.0,0.12,−3.2,−8.6,2.3,0.25,−7.8,−16.9,1.2,0.09
SCP R,0.4,−5.0,1.3,0.25,−1.2,−4.5,2.1,0.48,−1.2,−4.5,2.1,0.48,−6.8,−13.8,0.3,0.06
SCP L,−0.5,−5.1,0.9,0.18,−2.6,−5.6,0.4,0.09,−1.8,−5.0,1.4,0.09,−1.3,−8.9,6.3,0.74
"MD, 10−3mm2/s",,,,,,,,,,,,,,,,
Genu CC,2.7,−1.1,6.6,0.16,2.5,−2.8,7.8,0.36,3.6,0.4,6.8,0.03,−0.7,−4.8,3.4,0.73
Body CC,2.5,0.8,4.3,0.003,3.1,1.3,4.9,0.001,1.4,−0.9,3.8,0.23,3.6,0.7,6.6,0.01
Splenium CC,2.7,0.9,4.5,0.003,2.8,0.5,5.1,0.02,2.4,0.4,4.4,0.02,3.2,−0.4,6.7,0.08
Cingulum (paracallosal) R,2.9,0.8,4.9,0.01,2.3,−0.4,5,0.09,3.8,1.5,6,0.001,2.0,−1.8,5.7,0.3
Cingulum (paracallosal) L,2.7,0.6,4.8,0.01,2.3,−0.3,4.9,0.08,3.4,0.8,6.1,0.01,1.9,−1.7,5.5,0.29
Cingulum (parahippocampal) R,4.3,1.6,7.1,0.002,5.6,2.7,8.6,<0.001,3.3,−0.2,6.8,0.06,4.5,−1.8,10.7,0.16
Cingulum (parahippocampal) L,5.0,1.1,9,0.01,8.3,4.3,12.2,<0.001,1.8,−2.8,6.3,0.45,2.8,−4.4,10.1,0.44
Fornix,1.8,−1.1,4.8,0.22,1.8,−2.1,5.7,0.38,2.4,−0.5,5.2,0.11,−0.9,−4.2,2.4,0.59
Uncinate fasciculus R,5.1,2.3,8,<0.001,6.7,3.7,9.6,<0.001,4.0,0.7,7.4,0.02,3.0,−2.6,8.6,0.3
Uncinate fasciculus L,6.2,1.6,10.8,0.01,10.9,5.2,16.5,<0.001,0.8,−1.7,3.3,0.52,6.0,0.8,11.2,0.02
Corticospinal tract R,2.2,−3.2,7.6,0.43,3.2,−3.9,10.2,0.38,2.8,−3.9,9.6,0.41,−1.1,−12.1,9.9,0.84
Corticospinal tract L,3.9,−1.5,9.4,0.16,4.3,−2.9,11.5,0.24,2.0,−4.7,8.6,0.56,9.3,−2.4,21,0.12
SCP R,2.2,−3.2,7.6,0.43,3.2,−3.9,10.2,0.38,2.8,−3.9,9.6,0.41,−1.1,−12.1,9.9,0.84
SCP L,5.1,0.7,9.5,0.02,5.6,0.7,10.5,0.02,4.0,−1.0,9.0,0.12,7.4,−2.5,17.2,0.14
