Neuropsychological tests,Cognitive function,Cognitive domain
"Category fluency (animals, 60 s)","Verbal fluency, semantic memory",Executive function
Boston naming test (short version),Word naming,Language
MMSE,Cognitive screening,–
Word List Learning,,
Immediate recall,Episodic memory,Memory
Delayed recall,Episodic memory,Memory
Delayed recognition,Episodic memory,Memory
Constructional praxis,,
Copy,Visuoconstruction,Visuoconstruction
Delayed recall,"Visuospatial memory, visuoconstruction",Memory
Trail making test,,
Part A,Attention and psychomotor speed,Attention and processing speed
Part B,Executive function,Executive function
"Phonemic fluency (letter S, 60 s)","Verbal fluency, executive function",Executive function
Digit span,,
Forward,Attention and information processing speed,Attention and processing speed
Backward,Working memory,Executive function
Questionnaires,Scope,
Clinical Dementia Rating scale,Cognitive screening questionnaire,
CES-D questionnaire,Depressive symptoms questionnaire,
