Unnamed: 0_level_0,Model I???,Unnamed: 2_level_0,Model II???,Unnamed: 4_level_0,Model III???,Unnamed: 6_level_0
DTI Measures,OR (95% CI),p,OR (95% CI),p,OR (95% CI),p
Outcome: Global cognition z-score,Outcome: Global cognition z-score,,,,,
MD median,"1.58 (1.21,2.06)",0.001,"1.26 (0.86,1.85)",0.239,"1.33 (0.85,2.06)",0.213
MD peak height,"0.62 (0.47,0.83)",0.001,"0.73 (0.50,1.08)",0.12,"0.70 (0.46,1.07)",0.096
FA median,"0.70 (0.53,0.91)",0.008,"0.86 (0.61,1.21)",0.389,"0.86 (0.60,1.22)",0.392
FA peak height,"1.42 (1.09,1.85)",0.009,"1.12 (0.80,1.56)",0.514,"1.15 (0.81,1.64)",0.442
,,,,,,
Cognitive domains;,,,,,,
Outcome: Attention,,,,,,
MD median,"1.33 (1.03,1.71)",0.030,"1.11 (0.77,1.60)",0.578,"1.09 (0.71,1.65)",0.704
MD peak height,"0.86 (0.67,1.10)",0.237,"1.10 (0.78,1.57)",0.58,"1.14 (0.78,1.66)",0.499
FA median,"0.88 (0.68,1.12)",0.301,"1.06 (0.77,1.45)",0.723,"1.10 (0.79,1.53)",0.583
FA peak height,"1.15 (0.89,1.47)",0.277,"0.97 (0.71,1.34)",0.872,"0.96 (0.68,1.34)",0.801
Outcome: Executive function,Outcome: Executive function,,,,,
MD median,"1.28 (0.98,1.65)",0.066,"1.27 (0.87,1.86)",0.208,"1.15 (0.75,1.78)",0.512
MD peak height,"0.82 (0.63,1.07)",0.144,"0.84 (0.59,1.22)",0.368,"0.92 (0.62,1.36)",0.662
FA median,"0.85 (0.65,1.10)",0.212,"0.90 (0.65,1.25)",0.531,"0.97 (0.69,1.37)",0.868
FA peak height,"1.13 (0.87,1.46)",0.368,"1.04 (0.75,1.44)",0.82,"0.97 (0.68,1.37)",0.863
Outcome: Memory,,,,,,
MD median,"1.61 (1.22,2.11)",0.001,"1.22 (0.82,1.81)",0.331,"1.17 (0.74,1.85)",0.495
MD peak height,"0.57 (0.43,0.77)",<0.001,"0.63 (0.41,0.96)",0.033,"0.62 (0.39,0.97)",0.037
FA median,"0.70 (0.53,0.93)",0.012,"0.90 (0.63,1.28)",0.553,"0.93 (0.64,1.35)",0.706
FA peak height,"1.46 (1.11,1.91)",0.006,"1.17 (0.83,1.66)",0.366,"1.16 (0.80,1.68)",0.423
Outcome: Language,,,,,,
MD median,"1.29 (0.91,1.81)",0.149,"1.07 (0.63,1.82)",0.806,"1.54 (0.81,2.92)",0.184
MD peak height,"0.66 (0.45,0.97)",0.035,"0.61 (0.35,1.08)",0.089,"0.43 (0.22,0.83)",0.012
FA median,"0.75 (0.52,1.09)",0.134,"0.81 (0.50,1.31)",0.389,"0.68 (0.40,1.16)",0.157
FA peak height,"1.53 (1.08,2.18)",0.017,"1.44 (0.92,2.25)",0.107,"1.65 (1.01,2.67)",0.044
Outcome: Visuomotor speed,Outcome: Visuomotor speed,,,,,
MD median,"1.76 (1.33,2.31)",<0.001,"1.73 (1.17,2.55)",0.006,"1.81 (1.17,2.81)",0.008
MD peak height,"0.59 (0.44,0.78)",<0.001,"0.66 (0.45,0.96)",0.03,"0.67 (0.45,1.00)",0.051
FA median,"0.57 (0.43,0.75)",<0.001,"0.60 (0.43,0.85)",0.004,"0.58 (0.41,0.84)",0.003
FA peak height,"1.57 (1.20,2.05)",0.001,"1.42 (1.02,1.98)",0.038,"1.44 (1.02,2.06)",0.041
Outcome: Visuospatial function,Outcome: Visuospatial function,,,,,
MD median,"0.92 (0.72,1.18)",0.503,"0.86 (0.60,1.24)",0.43,"0.68 (0.45,1.03)",0.071
MD peak height,"1.04 (0.81,1.33)",0.774,"1.06 (0.75,1.50)",0.727,"1.20 (0.83,1.74)",0.325
FA median,"1.10 (0.86,1.41)",0.437,"1.16 (0.85,1.58)",0.355,"1.28 (0.92,1.77)",0.146
FA peak height,"0.82 (0.64,1.05)",0.121,"0.76 (0.55,1.04)",0.088,"0.69 (0.49,0.98)",0.038
