Unnamed: 0,"SRC athletes, n = 22","Controls, n = 22"
"Male sex, % (n), p = 0.353",68% (15),"55%, (12)"
"Age, mean (SD), p = 0.580",27 (6.4) years,26 (5.0) years
"Education, mean (SD), p<0.001",13 (1.6) years,16 (2.6) years
"Works full time, % (n), p = 0.340",27% (6),41% (9)
"Works part time, % (n), p = 0.472",27% (6),18% (4)
"Studies, % (n), p = 0.112",23% (5),45% (10)
"On sick leave, % (n), p<0.001",50% (11),0% (0)
"Lives alone, % (n), p = 0.353",45% (10),32% (7)
Sports (n),"Ice hockey (8), soccer (4), karate (4), handball (2), indoor hockey (2), wrestling (1), and endurance riding (1)","Running, weight lifting, cycling, and swimming"
"Years of sports practice, mean (SD)",18 (5.1),-
"Number of SRCs, mean (range)",5 (1-20),-
"Age at first SRC, mean (SD)",18 (5.2) years,-
"Time from first SRC, mean (SD)",8.9 (6.8) years,-
"Time from last SRC, mean (SD)",2.6 (3.2) years,-
"Rehab, yes % (n)",14% (3),-
"SCAT5 symptom severity score, median (IQR)",64 (44.5-81.5),-
"SCAT5 number of symptoms, median (IQR)",20 (20-22),-
