Unnamed: 0,Unnamed: 1,"SRC athletes, median (IQR)","Controls, median (IQR)",p value
DTI,FA,0.414 (0.403-0.421),0.412 (0.397-0.420),0.322
DTI,MD,0.778 (0.755-0.794),0.779 (0.769-0.795),0.335
DTI,AD,1.135 (1.122-1.151),1.140 (1.128-1.160),0.389
DTI,RD,0.599 (0.572-0.610),0.600 (0.585-0.619),0.262
DKI,FA,0.459 (0.448-0.464),0.438 (0.436-0.449),<0.001
DKI,MD,0.940 (0.918-0.957),0.948 (0.935-0.959),0.144
DKI,AD,1.436 (1.394-1.448),1.413 (1.401-1.447),0.822
DKI,RD,0.698 (0.681-0.711),0.710 (0.700-0.728),0.011
DKI,MK,0.949 (0.898-0.976),0.966 (0.945-1.017),0.053
DKI,AK,0.861 (0.851-0.872),0.842 (0.827-0.860),0.023
DKI,RK,1.121 (1.008-1.182),1.185 (1.134-1.263),0.026
