rs (p value),rs (p value).1,RBANS Whole Scale,SDMT,d2,MFS,BRIEF Whole Scale,BRIEF Working Memory,HADS Anxiety,HADS Depression,"NfL, ng/L","GFAP, ng/L"
DTI,FA,-0.150 (0.527),0.030 (0.900),0.156 (0.510),-0.021 (0.930),-0.005 (0.982),0.299 (0.200),-0.032 (0.930),-0.142 (0.550),0.397 (0.143),-0.202 (0.470)
DTI,MD,0.242 (0.305),0.027 (0.910),-0.007 (0.977),-0.002 (0.995),0.168 (0.480),-0.301 (0.198),0.268 (0.253),0.335 (0.149),-0.620 (0.014),0.093 (0.742)
DTI,AD,0.248 (0.291),0.118 (0.619),-0.007 (0.977),-0.093 (0.698),0.153 (0.518),-0.285 (0.224),0.285 (0.223),0.361 (0.118),-0.542 (0.037),0.173 (0.537)
DTI,RD,0.218 (0.355),0.086 (0.719),0.040 (0.867),-0.102 (0.668),0.024 (0.920),-0.418 (0.067),0.201 (0.396),0.243 (0.302),-0.558 (0.031),0.057 (0.840)
DKI,FA,0.163 (0.504),-0.021 (0.932),0.232 (0.340),0.057 (0.817),0.187 (0.444),0.351 (0.140),-0.448 (0.054),0.128 (0.602),0.664 (0.010),0.198 (0.497)
DKI,MD,0.119 (0.626),0.127 (0.606),0.015 (0.952),-0.022 (0.929),0.089 (0.718),-0.269 (0.265),0.269 (0.266),0.156 (0.523),-0.583 (0.029),-0.139 (0.637)
DKI,AD,0.107 (0.663),0.180 (0.460),0.071 (0.772),-0.114 (0.642),0.024 (0.923),-0.253 (0.296),0.156 (0.523),0.071 (0.771),-0.431 (0.124),-0.227 (0.436)
DKI,RD,0.042 (0.864),0.048 (0.844),-0.039 (0.872),0.025 (0.920),0.123 (0.616),-0.252 (0.297),0.324 (0.176),0.196 (0.422),-0.601 (0.023),-0.156 (0.594)
DKI,MK,-0.125 (0.611),0.069 (0.778),-0.198 (0.416),-0.108 (0.660),0.003 (0.991),0.064 (0.793),0.189 (0.438),-0.154 (0.528),-0.271 (0.349),-0.288 (0.318)
DKI,AK,0.066 (0.789),-0.046 (0.853),-0.062 (0.800),0.370 (0.119),0.125 (0.609),0.348 (0.145),-0.283 (0.240),-0.268 (0.267),0.429 (0.126),0.009 (0.976)
DKI,RK,-0.122 (0.619),0.110 (0.654),-0.121 (0.621),-0.165 (0.500),-0.014 (0.955),0.017 (0.946),0.199 (0.415),-0.142 (0.562),-0.363 (0.202),-0.317 (0.270)
