Unnamed: 0,Pre-HD (n = 25),HD (n = 25),Controls (n = 25),Fisher’s Exact Test;F or T Test,df,p
Characteristics,,,,,,
Gender male/female,16/9,14/11,30/20,0.367,2.0,0.833
Age (years±SD),37.44±7.01,47.40±14.53,42.88±12.48,4.349,2.0,0.012b††
CAG repetition length,43.28±2.17,46.68±6.80,,−2.380,48.0,0.021???
MMSE,27.82±1.24,24.97±3.23,,3.682,38.0,0.001???
UHDRS Motor,8.00±9.28,37.22±13.18,,−8.695,44.0,0.001???
UHDRS Cognitive,257.80±42.34,142.65±50.35,,8.046,41.0,0.001???
UHDRS Behavioral,7.67±7.84,18.39±9.13,,−4.160,42.0,0.001???
UHDRS Functional,25±0,17.91±5.68,,5.984,44.0,0.001???
TFC,13±0,8.39±2.37,,9.329,44.0,0.001???
Independence scale,99.8±1.04,78.04±12.49,,8.312,44.0,0.001???
Disease burden,292.3±87.52,458.6±104.75,,–6.091,48.0,0.001???
