Region,Unnamed: 1_level_0,MANOVA,MANOVA,MANOVA,Controls vs Pre-HD,Controls vs HD,Pre-HD vs HD
Unnamed: 0_level_1,Unnamed: 1_level_1,F,Df,p,P,p,p
,FA,26.363,"2,95",0.001,0.007,0.001,0.001
Whole CC,AD,50.785,"2,95",0.001,0.356,0.001,0.001
,RD,67.741,"2,95",0.001,0.009,0.001,0.001
,FA,10.66,"2,95",0.001,0.350,0.001,0.003
Orbital Frontal,AD,12.0,"2,95",0.001,0.613,0.001,0.001
,RD,17.07,"2,95",0.001,0.272,0.001,0.005
,FA,12.28,"2,95",0.001,0.140,0.001,0.005
Anterior Frontal,AD,19.85,"2,95",0.001,0.230,0.001,0.001
,RD,20.51,"2,95",0.001,0.080,0.001,0.001
,FA,7.917,"2,92",0.001,0.984,0.001,0.002
Superior Frontal,AD,5.71,"2,92",0.001,0.323,0.001,0.043
,RD,5.91,"2,92",0.001,0.774,0.001,0.010
,FA,15.67,"2,91",0.001,0.013,0.001,0.007
Superior Parietal,AD,13.7,"2,91",0.001,0.795,0.001,0.001
,RD,20.41,"2,91",0.001,0.034,0.001,0.001
,FA,1.84,"2,94",0.184,–,–,–
Posterior Parietal,AD,8.63,"2,94",0.001,0.120,0.001,0.023
,RD,7.75,"2,94",0.001,0.02,0.001,0.203
,FA,2.56,"2,95",0.082,–,–,–
Temporal,AD,1.14,"2,95",0.325,–,–,–
,RD,1.72,"2,95",0.186,–,–,–
,FA,40.87,"2,95",0.001,0.001,0.001,0.001
Occipital,AD,14.32,"2,95",0.001,0.382,0.001,0.001
,RD,39.9,"2,95",0.001,0.006,0.001,0.001
