Variables,Mean ± SD or No. (%)
Demographic variables,
Age at first MRI (years),74.1 ± 4.7
Female,61 (47%)
Level of Education,
No schooling,42 (32%)
Low level,44 (34%)
High level,45 (34%)
APOE ε4 allele positive1,27 (21%)
Clinical variables of the last follow-up,
BMI (kg/m2),26.4 ± 3.8
Hypertension3,55 (42%)
Diabetes2,18 (14%)
Cognitive variables of the last follow-up,
MMSE score4,26.7 ± 2.8
FCSRT free recall score5,22.9 ± 7.8
FCSRT total recall score5,42.8 ± 7.0
Brain tissue changes between the first and the second MRI,
Gray matter atrophy (cm3) (min-max),16.79 ± 14.97 (−24.9–60.16)
Increase WMH lesion load (cm3) (min-max),3.30 ± 4.86 (−0.9–34.11)
Increase white matter MD (μm2/s) (min-max),53.26 ± 13.63 (29.23–98.68)
