Unnamed: 0,NT (Unit),nQA (Unit),TV (mm3),GFA (Unit),QA (Unit),TL (mm)
right caudate ctrl,"10,945 ± 2816 *",0.13 ± 0.05,"46,594 ± 16,341",0.1 ± 0.004,0.6 ± 0.13,71 ± 11.1
right caudate AD,7667 ± 3557 *,0.17 ± 0.05,"39,382 ± 18,303",0.09 ± 0.006,0.62 ± 0.13,68.6 ± 15
left caudate ctrl,"13,873 ± 3813",0.13 ± 0.05,"55,388 ± 16,471",0.1 ± 0.005,0.61 ± 0.13,77.6 ± 8.1
left caudate AD,"10,527 ± 5558",0.18 ± 0.06,"46,135 ± 21,453",0.1 ± 0.01,0.66 ± 0.15,74.6 ± 16.2
right pallidum ctrl,"18,202 ± 3649 **",0.15 ± 0.06 *,"87,140 ± 30,651",0.11 ± 0.003,0.68 ± 0.1,110 ± 16.8
right pallidum AD,"24,882 ± 5633 **",0.21 ± 0.05 *,"107,239 ± 23,390",0.11 ± 0.003,0.74 ± 0.14,115.8 ± 16
left pallidum ctrl,"20,728 ± 4002",0.15 ± 0.06 *,"92,296 ± 23,687",0.11 ± 0.005,0.7 ± 0.09,116.3 ± 13.4
left pallidum AD,"24,105 ± 6108",0.21 ± 0.05 *,"102,759 ± 23,521",0.11 ± 0.005,0.74 ± 0.15,117.8 ± 19.3
right putamen ctrl,"27,172 ± 5618 **",0.13 ± 0.05 *,"102,896 ± 35,726",0.1 ± 0.004,0.62 ± 0.12,98.2 ± 15.9
right putamen AD,"38,715 ± 9724 **",0.19 ± 0.05 *,"127,691 ± 30,643",0.1 ± 0.005,0.7 ± 0.12,104 ± 9.7
left putamen ctrl,"35,368 ± 4250 *",0.15 ± 0.06 *,"115,491 ± 23,729",0.1 ± 0.004,0.68 ± 0.11,104.6 ± 11.3
left putamen AD,"42,603 ± 9387 *",0.2 ± 0.05 *,"128,184 ± 29,395",0.1 ± 0.007,0.74 ± 0.16,107.8 ± 15
