Parameters,MCIc (n = 12),MCInc (n = 20),P value
Age (yr),69.5 (7.7),71.6 (7.0),0.437*
Education (yr),7.5 (2.9),9.2 (4.1),0.235*
Gender (female/male),9/3,14/6,1.000†
MCI subtypes,,,
Single/multiple domain,6/6,12/8,0.718†
BDS-ADL,1.6 (0.6),1.3 (0.7),0.137*
Neuropsychological test,,,
Verbal fluency,11.8 (5.0),12.2 (4.6),0.856*
15-item Boston naming test,9.3 (3.0),9.8 (2.4),0.573*
Mini-mental state examination,19.9 (3.5),23.9 (3.4),0.003*
Word list memory,12.6 (3.2),14.1 (4.9),0.361*
Word list recall,2.3 (2.0),3.4 (2.3),0.198*
Word list recognition,7.1 (1.7),6.3 (2.8),0.677*
Constructional praxis,9.2 (1.7),9.5 (1.6),0.295*
Constructional recall,1.8 (2.6),3.8 (3.1),0.068*
