Study,MR field strength and sequence,Measures,Brain areas,Covariates,White matter alterations,Grey matter alterations,CSF alteration,Whole brain alterations,Other correlations
"Avila‐Funes, 2016","1.5 T FLAIR, T1",WHV,—,"Age, sex, educational level, myocardial infarction, angina pectoris, stroke or hypercholesterolaemia, hypertension, diabetes, smoking status, cognitive status",Higher WHV in frail older adults compared with nonfrails,—,—,—,—
"Chen, 2015","3 T T1, T2‐FLAIR","GMV, WMV, CSF volume, WMH, TIV",—,"Age, sex, Charlson comorbidity index, cognitive function, mood and depressive symptoms, educational years, BMI, blood cell count and biochemistry (fasting blood sugar, total hypercholesterolaemia, albumin, total protein, uric acid, serum creatinine, Hs‐CRP, urine analysis and dual‐energy X‐ray absorptiometry)",No difference in WMH quantification and WM volume,"No difference in GMVAt‐risk group showed reduced GMV, compared to the robust group, in 13 brain regions including the cerebellum, hippocampi, middle frontal gyri, right inferior parietal lobule, precentral gyrus, left insula, anterior cingulate and middle occipital gyrus",Higher CSF volume in the at‐risk (prefrail and frail) subjects compared with the robust group,No difference in TIV volume,"Slowness, weakness and low activity involved reduced GMV in the cerebellum. Weight loss was associated with both GMV reduction (the right postcentral gyrus) and increase (the right posterior cingulate) topographically different from frailty‐related regions"
"Chunga, 2016",3 T T2‐FLAIR,"CMB, number of lacune, WMH","‐ Deep (basal ganglia, thalamus, internal capsule, external capsule, corpus callosum and deep/periventricular white matter), lobar (fontal, parietal, temporal and occipital regions)‐ Infratentorial categories (brainstem and cerebellum)","Age, sex, educational levels, smoking status, coronary artery disease, CKD, hypertension, DM, hyperlipidaemia, height, weight, BMI, cognitive function, mood and depressive symptoms",—,—,—,—,"Both number and topography of CMB were associated with physical frail status, independent of age and vascular risk factors. The incidence and number of CMBs in the deep or infratentorial regions were associated with the severity of physical frailty. CMBs located in the lobar regions, either mixed with deep/infratentorial or strictly lobar CMB, were not associated with the severity of the physically frail status. The number of lacunes was significantly associated with the severity of the physical frail status. CMB located in the brainstem was significantly associated with physical frailty. The presence of CMBs in the brainstem was significantly associated with the severity of physical frailty; the presence of CMB in the brainstem was revealed as an independent factor associated with the presence of weakness"
"Ducca, 2022","3 T T2, FLAIR",WHV,—,"Age, sex, race, educational levels, hypertension, coronary artery disease, diabetes, current smoking, stroke, cognitive status, BMI, APOEe4 status","Individuals with physical frailty have greater WHV and white matter microstructural abnormalities than nonfrails. This relationship was observed in participants without a history of stroke or dementia but did not persist when analyses were restricted to cognitively normal individuals, that is, the group of participants without MCI or dementia. WHV was significantly associated with new‐onset frailty over a 7‐year follow‐up period, even among cognitively normal adults. These results were consistent in Black and White participants and in men and women. Unlike WHV, general measures of white matter microstructural integrity were not associated with the risk of future frailty. However, secondary analyses did find that the microstructural integrity of specific white matter tracts was associated with future frailty",—,—,—,—
"Kant, 2019","3 T T1, FLAIR, DWI","WHV, WMH shape, lacunar infarcts",—,"Age, sex, hypertension, cognitive status, depressive symptoms, diabetes, BMI, obesity, smoking status, stroke, American Society of Anaesthesiologists score",Frail and prefrail participants had a higher WHV compared to nonfrail participants. Prefrail participants showed a more complex shape of periventricular and confluent WMH compared to nonfrail participants,—,—,—,"No between‐group differences were found in shape features of deep WMH, cerebral perfusion or presence of lacunar infarct"
"Kant, 2018","3 T T1, FLAIR","TBV, GMV, WHV, WM volume, presence of a cortical brain infarct",—,"Age, gender, BMI, DM, smoking status, hypertension, hypercholesterolaemia, cognitive status, American Society of Anaesthesiologists score",Higher WHV in frail individuals,Lower GMV in frail individuals,—,"Lower TBV in frail individuals; frail individuals showed a lower global cortical thickness compared to prefrail and nonfrail individuals; however, no regional clusters of a lower cortical thickness were found","More cortical infarcts in frail individuals; individual frailty components showed a relation with a lower global grey matter volume, but this did not reach statistical significance. Furthermore, prefrail individuals had more cortical brain infarcts compared to nonfrail individuals"
"Li, 2021","3 T T1, T2, DWI","GMV, WMV, CSFV, MYV, BPV, ICV, GMF, WMF, MYF, GMV/ICV, WMV/ICV, CSF/ICV, MYV/ICV",—,"Age, sex, BMI, educational level, cognitive status",—,"Multiple regional GM volumetry showed significant correlations with the EFS. No significant correlation was found between the EFS and regional GM relaxometry. Both global volumetry and global relaxometry showed strong correlations with some domain scores of the EFS. Some regional GM volumetry showed strong negative correlations with the functional performance score. Significant negative correlations were identified between the functional performance score and the GMV of Rolandic, olfactory, rectus, cingulate, hippocampus, parahippocampal and precuneus. No notable correlations were found between regional GMV and the cognition score, general health status score, functional independence score, medication use score, nutrition score, mood score or continence score. Significant negative correlations were found between the functional independence score and the T1 value of caudate. No notable correlations were identified between the other scores and regional GM T1 values. Significant negative correlations were identified between the functional independence score and the T2 values of insula and caudate. No notable correlations were found between the other scores and regional GM T2 values. No significant correlations between the domain scores of the EFS and regional GM PD values were identified",—,—,—
"Maltais, 2019",—,"WHV, WMH progression",—,"Age, sex, educational level, DM, hypertension, hypercholesterolaemia","A significant increase in likelihood of increasing 1 point on the frailty phenotype score over 3 years with higher baseline WMH. For the progression of WMH, no significant associations were found for the continuous variable as well as the dichotomous variable (fast vs. slow progression of WMH) with frailty evolution",—,—,—,—
"Siejka, 2020","1.5 T T1, T2, FLAIR, GRE","WMH, SI, microbleeds",—,"Age, sex, educational level",Higher baseline WMH was associated with a greater progression in frailty. WMH was significantly associated with progressively worsening frailty. A higher burden of baseline WMH was more strongly associated with progression of frailty,—,—,—,SI and microbleeds were not significantly associated with progression of frailty
"Siejka, 2017","1.5 T T1, T2, FLAIR, GRE","WMH, SI, CMB",—,"Age, sex, educational level","WMH in unadjusted models was positively associated with higher frailty scores. In final models including all brain variables, higher burden of WMH was independently associated with a higher frailty score. In fully adjusted models, WMH was associated with the motor index",—,—,—,"SI and CMB in unadjusted models were positively associated with higher frailty scores. In final models including all brain variables, higher burden of SI or CMB was not associated with a higher frailty score"
