Protocol,Total N,N (CN),N (MCI),N (Dementia),Age (Mean ± SD),Male (%)
ADNI S31,96,59,27,10,72.03 ± 8.51,39 (40.62%)
ADNI S55,270,175,71,24,74.41 ± 7.93,120 (44.44%)
ADNI S127,112,68,36,8,73.66 ± 7.58,53 (47.32%)
ADNI P33,56,37,14,5,75.74 ± 7.68,34 (60.71%)
ADNI P36,46,20,23,3,73.14 ± 6.93,24 (52.17%)
ADNI GE36,42,21,17,4,72.24 ± 7.15,24 (57.14%)
ADNI GE45,108,67,26,16,76.11 ± 8.06,55 (50.93%)
ADNI Total,730,447,214,69,74.13 ± 7.93,349 (47.81%)
NIMHANS Siemens,192,91,45,56,67.02 ± 8.26,111 (57.81%)
NIMHANS Philips,110,32,44,34,67.65 ± 7.13,66 (60.0%)
NIMHANS Total,302,123,89,90,67.25 ± 7.86,177 (58.61%)
Total,1032,570,570,159,72.12 ± 8.5,526 (50.97%)
