Region,Coordinates,Coordinates,Coordinates,HC<PSP,HC<MSA,PD<PSP,PD<MSA,MSA<PSP
Unnamed: 0_level_1,X,Y,Z,P-value,P-value,P-value,P-value,P-value
Corpus Callosum,,,,,,,,
Body,0,14,20,0.005,,,,
Genu,2,26,10,0.006,,0.0002,,
Splenium,14,−36,26,0.005,,0.0002,,
Corona Radiata,,,,,,0.0017,,
Left anterior,−26,30,12,,,,,
Right anterior,27,26,12,,,0.0002,,
Left superior,−27,7,26,0.0145,,0.0008,0.004,
Right superior,27,9,26,0.0145,,0.0002,0.004,
Left posterior,−26,−32,27,,,0.0002,,
Right posterior,26,−31,27,,,0.0013,,
Corticospinal,,,,,,0.0002,,
Left,−10,−23,−24,,0.0028,,0.0004,
Right,10,−27,−27,,0.0017,,0.0004,
Longitudinal fasciculus,,,,,,,,
Left superior,−32,−29,39,,,0.0006,,
Right superior,35,4,27,,,0.0002,,
Thalamic radiation,,,,,,,,
Left anterior,4,−19,−7,0.0008,,0.0002,,
Right anterior,−6,−19,−1,0.0013,,0.0002,,0.0028
Cerebellar peduncle,,,,,,,,0.0023
Left superior,−3,−29,−19,0.0006,,0.0002,0.0025,
Right superior,4,−29,−19,0.0011,,0.0002,0.0008,0.0021
Left inferior,−8,−53,−21,,0.0015,,0.0002,0.0021
Right inferior,8,−53,−21,,0.0013,,0.0002,
Middle,14,−35,−31,,0.0008,,0.0002,
Pontine crossing tract,4,−30,−28,,0.0015,,0.0002,
Lemniscus,,,,,,,,
Left medial,−5,−35,−26,0.0008,0.0017,0.0002,,
Right medial,6,−35,−25,0.0008,0.0008,0.0002,,
Cerebral peduncle,,,,,,,,
Left,−10,−26,−12,0.0013,,0.0002,0.0008,
Right,12,−25,−12,0.0013,,0.0002,0.0008,
Internal Capsule,,,,,,,,
Left posterior limb,−10,−8,0,0.0013,,0.0002,0.0041,
Right posterior limb,11,−8,0,0.0021,,0.0002,0.0041,
Left anterior limb,−10,0,0,,,0.0002,,
Right anterior limb,10,0,0,,,0.0002,,
External capsule,,,,,,,,
Right,33,−20,0,,,0.0028,0.0028,
Left,−30,−13,14,,,0.0028,0.0041,
