Unnamed: 0,Overall (n = 92),NC (n = 22),CAA (n = 34),MCI (n = 21),AD (n = 15),p-value
MMSE,26.9 ± 3.3,29.4 ± 1.2,26.6 ± 3.1,27.2 ± 2.3,23.7 ± 4.1,<0.001
Memory z-score,−0.02 ± 0.90,0.85 ± 0.60,−0.10 ± 0 0.86,−0.21 ± 0.65,−0.89 ± 0.50,<0.001
Executive Function z-score,0.01 ± 0.87,0.72 ± 0.59,−0.20 ± 0.86,0.07 ± 0.59,−0.64 ± 0.89,<0.001
Processing Speed z-score,−0.05 ± 0.92,0.72 ± 0.65,−0.50 ± 0.88,0.26 ± 0.49,−0.59 ± 0.94,<0.001
WMH Volume (mL),8.1 [3.0–22.5],2.4 [0.3–4.7],26.6 [11.8–52.9],6.0 [3.0–11.4],7.9 [4.3–10.6],<0.001
WMH volume (% ICV),0.62 [0.2–3.1],0.15 [0.11–0.32],1.83 [0.86–3.82],0.41 [0.26–0.83],0.56 [33–0.72],<0.001
Log WMH volume (% ICV),2.10 ± 1.35,−1.78 ± 1.13,0.50 ± 0.98,−0.75 ± 1.15,−0.68 ± 0.84,<0.001
CMB (%),42 (46.2),3 (13.6),33 (97.1),4 (19.1),2 (14.3),<0.001
Lacune baseline (%),20 (21.7),4 (18.2),10 (29.4),3 (14.3),3 (20.0),0.56
Lacune follow-up (%),17 (25.4) n = 67,2 (14.3) n = 14,11 (37.5) n = 27,2 (13.3) n = 15,2 (18.2) n = 11,0.23
cSS (%),18 (19.8),0,18 (52.9),0,0,<0.001
Mean Cortical Thickness (mm),2.36 ± 0.12,2.38 ± 0.11,2.37 ± 0.10,2.39 ± 0.08,2.28 ± 0.17,0.03
PSMD baseline (×10−4 mm2/s),4.07 ± 1.43,3.25 ± 0.49,4.97 ± 1.69,3.62 ± 1.09,3.89 ± 1.05,0.002
PSMD follow-up (×10−4 mm2/s),4.52 ± 1.51 (n = 64),3.76 ± 0.82 (n = 15),5.50 ± 1.49 (n = 24),4.14 ± 1.58 (n = 17),4.03 ± 1.13 (n = 11),<0.001
ΔPSMD (×10−4 mm2/s),0.42 ± 0.53,0.46 ± 0.63,0.52 ± 0.41,0.42 ± 0.85,0.33 ± 0.15,0.71
Annualized ΔPSMD (%),10.2 ± 11.2,11.7 ± 11.1,11.0 ± 9.6,10.5 ± 16.7,8.8 ± 5.2,0.94
MD baseline (×10−4 mm2/s),8.57 ± 0.67,8.10 ± 0.42,9.03 ± 0.68,8.42 ± 0.58,8.49 ± 0.43,<0.001
MD follow-up (×10−4 mm2/s),8.74 ± 0.70,8.36 ± 0.39,9.21 ± 0.66,8.48 ± 0.70,8.42 ± 0.44,0.002
ΔMD (×10−4 mm2/s),0.11 ± 0.22,0.15 ± 0.16,0.17 ± 0.21,0.04 ± 0.26,0.12 ± 0.04,0.09
