Data set,Data set.1,MRi-Share,BIL&GIN,SYS,LIFE,1000 BRAINS,UKBiobank,ASPSF,OATS,LBC 1936,MAS
Sample size,"20,005","1,824",410,512,"1,906","1,209","12,397",277,386,672,412
,(% females),72%,51%,54%,51%,44%,53%,60%,64%,47%,53%
Age (years),mean (SD)range,"22.1 (2.3)[18.1, 34.9]","26.9 (8.0)[18.1, 57.2]","49.5 (5.0)[36.4, 65.4]","58.1 (15.1)[19.0, 82.0]","60.8 (13.4)[18.5, 85.4]","62.6 (7.4)[45.1, 80.3]","65.0 (11.1)[38.5, 85.6]","71.1 (5.1)[65.4, 89.5]","72.7 (0.7)[71.0, 74.2]","80.3 (4.6)[72.7, 92.6]"
TIV (cm3)mean (SD),femalesmales,1515 (104)*1703 (118)*,1323 (93)1503 (127),1348 (164)1622 (131),1637 (115)1831 (131),1401 (104)1570 (118),1466 (203)*1576 (147)*,1396 (110)1572 (118),1369 (133)1574 (138),1353 (100)1537 (112),1267 (141)1460 (163)
(N) per age category,"18 to 28 (2,200)","1,778",285,0,101,36,0,0,0,0,0
(N) per age category,28 to 38 (340),46,84,3†,142,65,0,0,0,0,0
(N) per age category,38 to 48 (707),0,24†,176,250,93,126††,38,0,0,0
(N) per age category,"48 to 58 (4,287)",0,17†,311,218,176,"3,525",40,0,0,0
(N) per age category,"58 to 68 (6,535)",0,3†,22†,511,431,"5,375",52††,144††,0,0
(N) per age category,"68 to 78 (5,515)",0,0,0,656,358,"3,351",129,195,672,154
(N) per age category,78 to 98 (421),0,0,0,28†,50,20†,18†,47,0,258
