Unnamed: 0,HC(n = 31),MCI(n = 12),AD(n = 13),Group effect
"Age, years(range)",75.7 ± 5.6(65–87),77.4 ± 9.3(63–93),78.6 ± 7.8(64–91),"F(2,53) = 0.85; p = 0.43"
Sex (% women),71%,33%,31%,x2 = 8.47; p = 0.007
"Education, years(range)",15.8 ± 2.4(8–20),17.7 ± 2.0(14–20),16.0 ± 2.6(12–20),"F(2,53) = 2.85; p = 0.07"
DRS,139.8 ± 1.2,131.7 ± 2.0a,"120.7 ± 1.9b,c","F(2,50) = 34.22; p < 0.001"
FAQ,0.8 ± 0.8,3.0 ± 1.4,"14.6 ± 1.1b,c","F(2,45) = 49.19; p < 0.001"
LMI,15.6 ± 1.0,8.7 ± 1.5b,5.4 ± 1.4b,"F(2,49) = 18.31; p < 0.001"
LMD,14.2 ± 1.1,5.2 ± 1.7b,1.9 ± 1.6b,"F(2,49) = 22.20; p < 0.001"
CVLT-SFR,10.4 ± 0.5,2.9 ± 0.8b,1.9 ± 0.8b,"F(2,45) = 43.36; p < 0.001"
CVLT-LFR,11.1 ± 0.4,3.2 ± 0.7b,1.5 ± 0.7b,"F(2,45) = 78.42; p < 0.001"
CERAD-DR,7.2 ± 0.4,2.8 ± 0.6b,1.0 ± 0.6b,"F(2,48) = 38.82; p < 0.001"
ANART-VIQ,118.3 ± 1.4,117.4 ± 2.2,115.1 ± 2.0,"F(2,46) = 0.85; p = 0.43"
,n = 24,n = 7,n = 7,
"Aβ40, ng/ml",15.8 ± 1.2,11.5 ± 2.5,16.1 ± 2.3,"F(2,32) = 1.21; p = 0.31"
"Aβ42, ng/ml",3.0 ± 0.2,1.5 ± 0.5,2.0 ± 0.4,"F(2,32) = 4.58; p = 0.02"
