Outcome,Annual change (95% CI)???,Annual change (95% CI)???,"Linear difference between groups, coefficient estimate (95% CI)???",ω-3 Effect size estimates,ω-3 Effect size estimates
Outcome,ω-3 Group,Placebo group,"Linear difference between groups, coefficient estimate (95% CI)???",t Statistic (P value)???,Cohen d???
Primary outcome,,,,,
"White matter lesion, total, cm3 (log)",0.0782 (0.0414 to 0.1151),1.0000 (0.0638 to 0.1357),−0.0216 (−0.0624 to 0.0191),−1.04 (.30),−0.24
APOE*E4 positive,0.0417 (−0.0362 to 0.1197),0.1067 (0.0418 to 0.1702),−0.0650 (−0.1522 to 0.0195),−1.50 (.15),−0.63
APOE*E4 negative,0.0917 (0.0497 to 0.1337),0.0980 (0.0543 to 0.1410),−0.0064 (−0.0515 to 0.0394),−0.27 (.79),−0.07
Secondary outcomes,,,,,
"Diffusion tenor imaging of fractional anisotropy, mm2/s",−0.0014 (−0.0027 to 0.0002),−0.0027 (−0.0041 to −0.0014),0.0014 (−0.0001 to 0.0028),1.84 (.07),0.42
APOE*E4 positive,−0.0015 (−0.0041 to 0.0011),−0.0047 (−0.0067 to −0.0025),0.0032 (0.0004 to 0.0062),2.22 (.04),0.92
APOE*E4 negative,−0.0012 (−0.0028 to 0.0004),−0.0016 (−0.0032 to 0.0020),0.0004 (−0.0013 to 0.0020),0.44 (.66),0.08
"Medial temporal, cm3",−0.3664 (−0.4832 to −0.2496),−0.3585 (−0.4731 to −0.2434),−0.0079 (−0.1289 to 0.1134),−0.13 (.90),−0.03
APOE*E4 positive,−0.5656 (−0.7850 to −0.3462),−0.4120 (−0.5922 to −0.2295),−0.1536 (−0.3807 to 0.07412),−1.31 (.20),−0.56
APOE*E4 negative,−0.3129 (−0.4540 to −0.1718),−0.3306 (−0.4758 to −0.1862),0.0178 (−0.1236 to 0.1605),0.24 (.81),0.04
"Whole brain, cm3",0.5352 (−3.6250 to 4.6960),−1.8930 (−6.0280 to 2.1300),2.4280 (−2.2360 to 7.2250),1.01 (.32),0.23
APOE*E4 positive,−3.0560 (−12.2300 to 6.1200),−2.9360 (−10.7800 to 4.7530),−0.1193 (−9.2680 to 9.2560),−0.03 (.98),−0.01
APOE*E4 negative,1.2940 (−3.2710 to 5.8580),−1.3850 (−6.1210 to 3.1710),2.6790 (−2.7500 to 8.2280),0.96 (0.34),0.26
"Ventricular, cm3 (log)",0.0323 (0.0245 to 0.0401),0.0343 (0.0267 to 0.0418),−0.0019 (−0.0113 to 0.0076),−0.40 (.69),−0.09
APOE*E4 positive,0.0348 (0.0194 to 0.0502),0.0334 (0.0206 to 0.0460),0.00138 (−0.0152 to 0.0182),0.16 (.87),0.07
APOE*E4 negative,0.0325 (0.0230 to 0.0421),0.0349 (0.0252 to 0.0446),−0.00242 (−0.0144 to 0.0097),−0.39 (.70),−0.11
