Unnamed: 0,AUC,95% CI of AUC,Optimal cut-off*,Sensitivity,Specificity,vs. DTI score (p value),vs. MRI score (p value)
FA,0.78,0.56–0.93,<0.35,0.5,1.0,0.037,0.035
MD,0.76,0.53–0.91,>0.9E-03,1.0,0.5,0.026,0.023
λ||,0.73,0.50–0.89,>1.3E-03,0.5,0.94,0.022,0.018
λ⊥,0.73,0.50–0.89,>0.8E-03,0.5,1.0,0.032,0.03
Jacobian-ex-DTI,0.59,0.37–0.80,>1.9,0.33,0.94,0.009,0.007
Jacobian-DTI,0.59,0.37–0.80,<0.48,0.33,0.94,0.009,0.007
T2,0.8,0.58–0.94,>105,0.83,0.75,0.075,0.041
Jacobian-T1,0.69,0.46–0.87,<0.94,0.83,0.69,0.055,0.034
DTI score,0.91,0.71–0.99,<0.0,1.0,0.75,,0.14
MRI score,0.93,0.73–0.99,<0.0,1.0,0.75,0.14,
ADAS-cog,0.56,0.34–0.77,>11,0.67,0.63,0.033,0.026
MMSE,0.79,0.57–0.94,<25,0.83,0.69,0.16,0.105
WMS-immediate,0.71,0.48–0.88,<8,0.83,0.63,0.075,0.045
WMS-delayed,0.83,0.61–0.96,<4,0.67,0.88,0.295,0.23
