Unnamed: 0,SVD (n = 115),Controls (n = 50),p-value
Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy,Fractional Anisotropy
Mean,0.301 (0.0256),0.339 (0.0171),<0.0001
Std Deviation,0.151 (0.00767),0.152 (0.00645),0.3
Skew,0.693 (0.133),0.545 (0.117),<0.0001
Kurtosis,0.421 (0.313),0.172 (0.243),<0.0001
Peak Location,0.262 (0.0429),0.311 (0.0294),<0.0001
Peak Height,0.0272 (0.00213),0.0269 (0.00196),0.4
Median,0.285 (0.0281),0.325 (0.0192),<0.0001
IQR,0.203 (0.0137),0.205 (0.0129),0.4
Mean Diffusivity (×10−3 mm2s−1),Mean Diffusivity (×10−3 mm2s−1),Mean Diffusivity (×10−3 mm2s−1),Mean Diffusivity (×10−3 mm2s−1)
Mean,0.870 (0.0442),0.816 (0.0373),<0.0001
Std Deviation,0.294 (0.0482),0.250 (0.0366),<0.0001
Skew,3.40 (0.593),3.71 (0.779),<0.005
Kurtosis,16.5 (5.78),20.7 (7.51),<0.0001
Peak Location,0.772 (0.0301),0.750 (0.0319),<0.0001
Peak Height,0.140 (0.0212),0.162 (0.0264),<0.0001
Median,0.801 (0.0318),0.767 (0.0304),<0.0001
IQR,0.176 (0.0353),0.146 (0.0266),<0.0001
Axial Diffusivity (×10−3 mm2s−1),Axial Diffusivity (×10−3 mm2s−1),Axial Diffusivity (×10−3 mm2s−1),Axial Diffusivity (×10−3 mm2s−1)
Mean,1.14 (0.0366),1.12 (0.0366),<0.0001
Std Deviation,0.339 (0.0384),0.309 (0.0289),<0.0001
Skew,2.43 (0.329),2.31 (0.422),0.044
Kurtosis,9.26 (2.37),9.16 (2.69),0.8
Peak Location,1.02 (0.0324),1.01 (0.0348),0.1
Peak Height,0.0827 (0.00619),0.0844 (0.00637),0.1
Median,1.07 (0.0302),1.06 (0.0325),<0.004
IQR,0.287 (0.0251),0.275 (0.0230),<0.004
Radial Diffusivity (×10−3 mm2s−1),Radial Diffusivity (×10−3 mm2s−1),Radial Diffusivity (×10−3 mm2s−1),Radial Diffusivity (×10−3 mm2s−1)
Mean,0.732 (0.0506),0.666 (0.0391),<0.0001
Std Deviation,0.305 (0.0493),0.259 (0.0371),<0.0001
Skew,3.06 (0.529),3.31 (0.703),0.013
Kurtosis,14.5 (5.10),18.2 (6.83),<0.0002
Peak Location,0.644 (0.0341),0.610 (0.0331),<0.0001
Peak Height,0.114 (0.0135),0.127 (0.0147),<0.0001
Median,0.670 (0.0371),0.624 (0.0321),<0.0001
IQR,0.209 (0.0335),0.180 (0.0242),<0.0001
